"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"HIBCH",0,1.28511981219645,0.499,0.439,0,"0"
"PIEZO2",0,1.15925315834032,0.476,0.294,0,"0"
"DOCK10",0,1.1475613529923,0.725,0.529,0,"0"
"TLE4",0,1.14459489702855,0.552,0.433,0,"0"
"DUBR",0,1.12565066199459,0.483,0.326,0,"0"
"PEX5L",0,1.11209535877605,0.711,0.543,0,"0"
"FRMD5",0,1.10570834327568,0.719,0.559,0,"0"
"ABCA8",0,1.09990822255106,0.583,0.376,0,"0"
"AC009063.2",0,1.05715538799053,0.307,0.131,0,"0"
"GRM3",0,1.0509398685461,0.615,0.439,0,"0"
"SHTN1",0,1.02540934504886,0.768,0.549,0,"0"
"LINC00862",0,1.01976376894492,0.312,0.144,0,"0"
"ZDHHC20",0,0.996778158681447,0.538,0.406,0,"0"
"PRUNE2",0,0.995649003802351,0.682,0.498,0,"0"
"SLC44A1",0,0.992574574651785,0.878,0.624,0,"0"
"PCDH9",0,0.978510636235942,0.957,0.845,0,"0"
"MIR181A1HG",0,0.976066989768284,0.496,0.336,0,"0"
"ST18",0,0.972911763089924,0.785,0.477,0,"0"
"CD22",0,0.958009962421027,0.48,0.289,0,"0"
"TMTC2",0,0.950647926684708,0.722,0.528,0,"0"
"DOCK5",0,0.934804218646656,0.68,0.452,0,"0"
"AC106869.1",0,0.929900906361466,0.334,0.182,0,"0"
"MOBP",0,0.928639351838443,0.763,0.451,0,"0"
"SLC24A2",0,0.92472053208658,0.783,0.587,0,"0"
"HDAC2-AS2",0,0.905533485281347,0.442,0.303,0,"0"
"PDE4B",0,0.902007782681673,0.741,0.621,0,"0"
"ENOX1",0,0.898125269939759,0.595,0.459,0,"0"
"CADM2",0,0.897825888261178,0.667,0.654,0,"0"
"IL1RAPL1",0,0.883301968310686,0.781,0.607,0,"0"
"CCP110",0,0.87881176032168,0.438,0.314,0,"0"
"RNF220",0,0.878374788268669,0.761,0.513,0,"0"
"LINC01608",0,0.874230478708194,0.416,0.249,0,"0"
"FOLH1",0,0.873848636734486,0.453,0.279,0,"0"
"CNTN2",0,0.869259032217075,0.633,0.436,0,"0"
"GAB1",0,0.86765268244649,0.658,0.515,0,"0"
"SHROOM4",0,0.864475150915653,0.526,0.333,0,"0"
"HHIP",0,0.864365577027959,0.451,0.293,0,"0"
"CCDC88A",0,0.863156404661727,0.781,0.714,0,"0"
"CTNNA3",0,0.8630687621308,0.752,0.505,0,"0"
"MAN2A1",0,0.861396344528948,0.756,0.56,0,"0"
"PXK",0,0.860524926428812,0.65,0.471,0,"0"
"PLD1",0,0.855381807353148,0.484,0.325,0,"0"
"RFTN2",0,0.84738624240102,0.53,0.379,0,"0"
"CLMN",0,0.845039060128513,0.632,0.419,0,"0"
"FAM107B",0,0.821146451768852,0.587,0.386,0,"0"
"AMER2",0,0.819183346612694,0.592,0.449,0,"0"
"ATP8A1",0,0.818668429420806,0.697,0.57,0,"0"
"CDKL1",0,0.817448227447658,0.319,0.206,0,"0"
"KLHL4",0,0.816550233740254,0.357,0.227,0,"0"
"UGT8",0,0.815871082797126,0.575,0.39,0,"0"
"LINC00639",0,0.814407764761747,0.405,0.255,0,"0"
"MARCH1",0,0.813062080675487,0.687,0.567,0,"0"
"LRP2",0,0.812445422781481,0.456,0.293,0,"0"
"DLC1",0,0.807923726726407,0.582,0.44,0,"0"
"FRYL",0,0.806495496174236,0.733,0.572,0,"0"
"QDPR",0,0.806317290945557,0.546,0.392,0,"0"
"MBP",0,0.805728671235801,0.923,0.621,0,"0"
"KIRREL3",0,0.805685169238261,0.604,0.425,0,"0"
"TTLL7",0,0.804872580836518,0.803,0.603,0,"0"
"MAP7",0,0.802279265744724,0.776,0.599,0,"0"
"NKAIN2",0,0.799401103005679,0.708,0.545,0,"0"
"FUT8",0,0.798293637046036,0.62,0.506,0,"0"
"HIP1",0,0.794552065320786,0.528,0.385,0,"0"
"CNTNAP4",0,0.794052851067644,0.541,0.379,0,"0"
"BCAS1",0,0.791831631416728,0.556,0.389,0,"0"
"NFASC",0,0.784669521856599,0.63,0.518,0,"0"
"WHRN",0,0.783296331138342,0.33,0.2,0,"0"
"HIPK2",0,0.779998159096966,0.584,0.459,0,"0"
"LPAR1",0,0.778170909767475,0.489,0.32,0,"0"
"PHLPP1",0,0.777137986402829,0.709,0.546,0,"0"
"TMEM144",0,0.776327651995899,0.769,0.507,0,"0"
"ATP10B",0,0.775216753184875,0.463,0.323,0,"0"
"SPOCK3",0,0.774100901727573,0.697,0.51,0,"0"
"MAGI2",0,0.77257298956288,0.776,0.705,0,"0"
"ST6GALNAC3",0,0.771183694727456,0.512,0.405,0,"0"
"CDH20",0,0.768087096906358,0.618,0.483,0,"0"
"NCKAP5",0,0.762491177975502,0.591,0.476,0,"0"
"UNC5C",0,0.762165115184634,0.67,0.49,0,"0"
"ELMO1",0,0.761313003908604,0.731,0.573,0,"0"
"ENPP2",0,0.760435049394168,0.65,0.43,0,"0"
"CPOX",0,0.756711348370581,0.363,0.254,0,"0"
"TRIM2",0,0.753974576143579,0.7,0.587,0,"0"
"PLEKHH1",0,0.751502166407096,0.597,0.409,0,"0"
"ANO4",0,0.751272246619558,0.465,0.344,0,"0"
"ARFGEF3",0,0.746555044361783,0.557,0.462,0,"0"
"KCNH8",0,0.744501865811432,0.56,0.385,0,"0"
"DAAM2",0,0.738663827921472,0.559,0.392,0,"0"
"KIF13B",0,0.736462315241863,0.463,0.351,0,"0"
"AC026316.5",0,0.735932691799167,0.545,0.356,0,"0"
"SORT1",0,0.733765992069858,0.607,0.519,0,"0"
"C10orf90",0,0.733052743257701,0.611,0.415,0,"0"
"AK5",0,0.732146418406554,0.607,0.474,0,"0"
"SGK1",0,0.732049124573663,0.626,0.48,0,"0"
"LAMP2",0,0.731513300683368,0.551,0.438,0,"0"
"DNAJC6",0,0.73131105626218,0.624,0.505,0,"0"
"CDK19",0,0.729709548655155,0.607,0.481,0,"0"
"PLCL1",0,0.726922834196591,0.675,0.496,0,"0"
