"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"HIBCH",0,1.28511981219645,0.499,0.439,0,"0"
"PIEZO2",0,1.15925315834032,0.476,0.294,0,"0"
"DOCK10",0,1.1475613529923,0.725,0.529,0,"0"
"TLE4",0,1.14459489702855,0.552,0.433,0,"0"
"DUBR",0,1.12565066199459,0.483,0.326,0,"0"
"PEX5L",0,1.11209535877605,0.711,0.543,0,"0"
"FRMD5",0,1.10570834327568,0.719,0.559,0,"0"
"ABCA8",0,1.09990822255106,0.583,0.376,0,"0"
"AC009063.2",0,1.05715538799053,0.307,0.131,0,"0"
"GRM3",0,1.0509398685461,0.615,0.439,0,"0"
"CRYAB",0,1.66575079750902,0.936,0.462,0,"1"
"SELENOP",0,1.57385729632921,0.702,0.283,0,"1"
"PLP1",0,1.54587693305051,0.999,0.594,0,"1"
"CNP",0,1.45464946452484,0.89,0.407,0,"1"
"ERMN",0,1.36002511651578,0.666,0.251,0,"1"
"LINC00844",0,1.3547893149905,0.446,0.119,0,"1"
"APLP1",0,1.34073528304156,0.902,0.49,0,"1"
"APOD",0,1.32919292954871,0.73,0.272,0,"1"
"MAG",0,1.31925184788081,0.728,0.306,0,"1"
"MAL",0,1.30622329843386,0.686,0.281,0,"1"
"OPALIN",0,1.97551682297208,0.748,0.139,0,"2"
"LINC01608",0,1.79895854329885,0.778,0.21,0,"2"
"PALM2",0,1.65843205471051,0.707,0.225,0,"2"
"HHIP",0,1.61836605533794,0.791,0.256,0,"2"
"LINC01170",0,1.47881955497293,0.511,0.151,0,"2"
"PPP2R2B",0,1.44904228178578,0.889,0.602,0,"2"
"UNC5C",0,1.35082153653772,0.861,0.471,0,"2"
"ANK3",0,1.34935843154144,0.908,0.57,0,"2"
"KCNAB1",0,1.32188237152304,0.461,0.145,0,"2"
"SIK3",0,1.31899050398179,0.905,0.625,0,"2"
"LINC01505",0,2.04147578402551,0.568,0.12,0,"3"
"SLC5A11",0,1.64369978730235,0.807,0.222,0,"3"
"LINC00609",0,1.60547145801317,0.886,0.345,0,"3"
"MOBP",0,1.53220800429844,0.959,0.438,0,"3"
"LMCD1-AS1",0,1.45113115371644,0.802,0.326,0,"3"
"ST18",0,1.44780337124626,0.967,0.465,0,"3"
"KCTD8",0,1.4444005327941,0.761,0.274,0,"3"
"CTNNA3",0,1.43744574973382,0.937,0.492,0,"3"
"NKAIN2",0,1.429597943348,0.931,0.526,0,"3"
"PRR5L",0,1.40880402543576,0.738,0.225,0,"3"
"HSPH1",0,3.20552444166803,0.72,0.31,0,"4"
"ELOVL5",0,2.74653836168013,0.709,0.255,0,"4"
"HSPD1",0,2.51482308175755,0.653,0.222,0,"4"
"DNAJB1",0,2.47513531665328,0.666,0.166,0,"4"
"HSP90AA1",0,2.41204762011257,0.942,0.738,0,"4"
"DNAJA4",0,2.26484713398306,0.472,0.121,0,"4"
"PTGES3",0,2.13837455404408,0.751,0.336,0,"4"
"FOS",0,2.1215766719452,0.48,0.068,0,"4"
"MSMO1",0,2.09130762057605,0.528,0.119,0,"4"
"HSPA1B",0,2.05029272373822,0.548,0.147,0,"4"
"DPP10",0,3.23207835028649,0.594,0.229,0,"5"
"SLC1A2",0,3.19460914052778,0.774,0.134,0,"5"
"ADGRV1",0,3.19129584947437,0.756,0.069,0,"5"
"AQP4",0,3.11067847783433,0.712,0.057,0,"5"
"SLC14A1",0,3.05188801007933,0.598,0.03,0,"5"
"GJA1",0,2.97027291335516,0.628,0.04,0,"5"
"GLIS3",0,2.80105375747974,0.578,0.079,0,"5"
"LINC01088",0,2.74416288698909,0.365,0.042,0,"5"
"GFAP",0,2.73475383550005,0.705,0.133,0,"5"
"ADCY2",0,2.67039996683136,0.62,0.145,0,"5"
"LRMDA",0,4.17971791209024,0.708,0.07,0,"6"
"ARHGAP24",0,3.91929421867056,0.763,0.068,0,"6"
"CD74",0,3.91433882202939,0.686,0.03,0,"6"
"DOCK8",0,3.55391154437031,0.694,0.018,0,"6"
"AC074327.1",0,3.53444928359205,0.56,0.008,0,"6"
"RUNX1",0,3.40469708010847,0.639,0.056,0,"6"
"FYB1",0,3.39010565032491,0.636,0.011,0,"6"
"TBXAS1",0,3.38603192183116,0.67,0.023,0,"6"
"APBB1IP",0,3.38075637158738,0.668,0.018,0,"6"
"PLXDC2",0,3.34780918273227,0.848,0.391,0,"6"
"TNR",0,4.4819242339995,0.882,0.087,0,"7"
"LHFPL3",0,4.43068305851819,0.647,0.075,0,"7"
"PCDH15",0,4.18019290518651,0.728,0.046,0,"7"
"PTPRZ1",0,4.15608820174994,0.929,0.11,0,"7"
"VCAN",0,4.06908354701234,0.888,0.062,0,"7"
"DSCAM",0,4.00118539309177,0.72,0.139,0,"7"
"LRRC4C",0,3.46174783323867,0.801,0.315,0,"7"
"MMP16",0,3.25067739842849,0.739,0.109,0,"7"
"LUZP2",0,3.22372003737201,0.684,0.065,0,"7"
"MEGF11",0,3.20323672982289,0.636,0.02,0,"7"
"MEG3",0,2.93197151125627,0.925,0.19,0,"8"
"KCNIP4",0,2.70064875997476,0.594,0.24,0,"8"
"ENC1",0,2.54250302384136,0.896,0.098,0,"8"
"LRRTM4",0,2.5016216627475,0.652,0.196,0,"8"
"HS6ST3",0,2.46500502415628,0.665,0.1,0,"8"
"CBLN2",0,2.3927523751768,0.546,0.031,0,"8"
"DGKB",0,2.32296495356695,0.668,0.113,0,"8"
"STXBP5L",0,2.26710172639568,0.742,0.159,0,"8"
"CAMK2A",0,2.21681489933031,0.833,0.118,0,"8"
"CHN1",0,2.21134129215402,0.942,0.258,0,"8"
"MEG3",0,2.98082425585914,0.905,0.191,0,"9"
"SNHG14",0,2.29972661561874,0.81,0.197,0,"9"
"MIAT",0,2.28394796086336,0.692,0.131,0,"9"
"KCNIP4",0,2.20043195037786,0.457,0.245,0,"9"
"KCNIP4-IT1",0,2.08572991731943,0.394,0.037,0,"9"
"CHN1",0,2.06732348552496,0.836,0.262,0,"9"
"FAM153CP",0,2.04954910792658,0.431,0.052,0,"9"
