"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PTGDS",0,-3.75805322641966,0.037,0.666,0
"CLDN11",1.15740329685449e-304,-3.0582567671932,0.02,0.531,5.01178775603932e-300
"ERBB2IP",3.6826043711671e-222,-2.85664007904704,0.019,0.419,1.59464134480278e-217
"PAQR8",1.02428263817976e-207,-2.34058184684643,0.011,0.351,4.435348679846e-203
"CAPN3",1.8377253191638e-177,-1.8615473087152,0.007,0.278,7.95771817704309e-173
"CHN2",6.16167696517384e-168,-1.9528059664798,0.011,0.298,2.66812935945958e-163
"SEPP1",2.0785714752714e-159,-2.21273186171453,0.018,0.334,9.0006302022202e-155
"MIR219A2",8.00216273603122e-152,-2.10423588258552,0.008,0.256,3.46509650795624e-147
"HHATL",7.30330248929396e-139,-1.76605763096579,0.005,0.213,3.16247604391407e-134
"RPL3",5.0063640663977e-135,-2.05191571778588,0.021,0.303,2.16785576803153e-130
"SOX2-OT",2.46899390424035e-134,-2.46678927646034,0,0.163,1.06912374041416e-129
"RPS27",3.1797749580513e-131,-2.30099139212959,0.03,0.34,1.37690615233537e-126
"ALDOA",1.52196287516249e-130,-1.56448538579846,0.005,0.208,6.59040364202863e-126
"SEPW1",2.05383623860228e-126,-1.70584789882763,0.017,0.278,8.89352168039561e-122
"ATP5E",5.63282584579474e-120,-1.44813866546997,0.007,0.211,2.43912624774604e-115
"AC026316.5",1.01684807913125e-117,1.85516437694379,0.864,0.087,4.40315555225412e-113
"ERBIN",4.83690787849903e-117,2.040548547876,0.928,0.202,2.09447784954765e-112
"FAM134B",2.83430013323153e-115,-1.54154730347987,0.01,0.219,1.22730864369192e-110
"CALM2",3.22640610639532e-115,-1.89380431206454,0.001,0.149,1.3970983721913e-110
"RPS17",4.48388037820737e-115,-1.83176964329072,0.015,0.25,1.94160988137136e-110
"MIR100HG",1.07286486405652e-108,-1.32078136014079,0.002,0.157,4.64571943433754e-104
"SEPTIN7",1.23112148668893e-106,-2.35066390238143,0,0.129,5.33100226166039e-102
"RP11-298D21.1",5.68878552620021e-106,-1.12401454970169,0.001,0.138,2.46335790855521e-101
"RP11-452H21.1",8.00153179315053e-106,-1.06930886852207,0.001,0.143,3.46482329707004e-101
"RP3-399L15.3",3.86886748527688e-103,-1.35340134100521,0.005,0.169,1.6752969984746e-98
"RPS18",6.59483163088491e-101,-1.97692969768728,0.026,0.275,2.85569399280578e-96
"NGFRAP1",7.79404382352779e-98,-1.3636110032977,0.008,0.183,3.37497685646401e-93
"AC016831.7",9.49148041546428e-98,1.47604479428209,0.822,0.107,4.11000084950434e-93
"SNHG14",1.94711340962461e-97,-1.87666140041201,0,0.118,8.4313904863565e-93
"ATP5G2",5.35888246883019e-96,-1.09056870859208,0.005,0.166,2.32050328665285e-91
"RETREG1",2.18705254607611e-94,1.49281826633637,0.794,0.09,9.47037493501879e-90
"FAM73A",9.68210522547517e-94,-1.03706205719784,0.004,0.154,4.19254520473526e-89
"LINC-PINT",5.02307352782347e-93,-1.33916758211483,0.009,0.185,2.17509129901812e-88
"SPG20",3.25362829016115e-92,-1.09791274399659,0.005,0.154,1.40888612220558e-87
"RP11-286E11.1",2.41336061267859e-91,-1.32650633211341,0.007,0.169,1.04503341250208e-86
"RP11-160H12.2",7.66304456935185e-90,-1.03643244577208,0.001,0.121,3.31825155942074e-85
"PDE4DIP",2.14295673934637e-89,1.50100099973508,0.685,0.042,9.27943127271767e-85
"WHSC1L1",4.85779146205925e-89,-1.2238012926816,0.006,0.16,2.1035208589009e-84
"PRRG1",9.29235975584272e-89,-1.46128950060665,0.014,0.202,4.02377762147501e-84
"TCEB2",2.08641132946129e-88,-1.22999073166776,0.009,0.177,9.03457833883326e-84
"SKIV2L2",7.52110151194262e-88,-1.07735854957707,0.002,0.124,3.25678737670139e-83
"CCNH",1.78598755375344e-87,1.44581233870461,0.752,0.09,7.73368330526316e-83
"FAM63B",2.81031698989067e-87,-1.16522157645181,0.003,0.135,1.21692346296246e-82
"ZCCHC11",7.8466708196613e-85,-1.05020525581667,0.003,0.132,3.39776539832974e-80
"MLLT4",4.07111214148062e-84,-1.05273442443143,0.004,0.138,1.76287297950394e-79
"RP5-921G16.1",4.74328025909599e-84,-1.07171872661596,0.002,0.126,2.05393521779375e-79
"L3MBTL4",2.92402792619824e-83,1.7549276292595,0.735,0.121,1.26616257260236e-78
"ATP5I",4.84158446380339e-82,-1.24495347413441,0.012,0.188,2.09650290451614e-77
"SELENOW",8.59058911940247e-82,1.18019144189485,0.696,0.062,3.71989690048366e-77
"AC006059.1",1.67979149883373e-81,1.58001489853768,0.657,0.042,7.2738331482498e-77
"HDAC2-AS2",1.52478489921236e-80,1.50318235272553,0.678,0.056,6.60262357056937e-76
"PTPN13",7.4573285364806e-79,1.28401026763555,0.811,0.177,3.22917240286683e-74
"AC118549.1",1.12000546053138e-76,1.26417403549814,0.616,0.031,4.849847645193e-72
