"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"C5orf17",8.45357912731069e-71,-0.304803099453011,0.011,0.874,1.69071582546214e-67
"AL392023.2",1.22154020503246e-61,-0.382702219955007,0.055,0.925,2.44308041006492e-58
"AC008691.1",2.74853804327034e-56,-0.580707656454171,0.007,0.851,5.49707608654068e-53
"AP001636.3",3.47591161723086e-51,0.306904160983538,0.066,0.862,6.95182323446172e-48
"GABRB2",5.76941428268243e-50,-0.487976442028091,0.018,0.81,1.15388285653649e-46
"AP003481.1",9.63872342603573e-47,-0.269939818134429,0.004,0.805,1.92774468520715e-43
"RFC3",7.61995648373137e-46,-0.336745193996273,0.051,0.839,1.52399129674627e-42
"ARHGAP20",8.81987392305915e-43,-0.387203535902583,0.047,0.816,1.76397478461183e-39
"CLSTN2",3.68816131131933e-39,-0.299904813748088,0.029,0.782,7.37632262263866e-36
"LINC01505",4.30314255758593e-39,-0.446834188269683,0.142,0.931,8.60628511517185e-36
"AL034397.3",2.5695659370386e-37,0.25973407603837,0.088,0.833,5.1391318740772e-34
"ZNF365",5.79609781955518e-37,-0.714785927211723,0.172,0.948,1.15921956391104e-33
"CHODL",2.70382816509368e-36,-0.280035343206268,0.047,0.793,5.40765633018736e-33
"RP11-96H19.1",7.59205246498164e-36,-0.394268072177893,0,0.144,1.51841049299633e-32
"GRIP1",5.29067703050251e-35,-0.271933456222054,0.033,0.77,1.0581354061005e-31
"SDC2",9.35750376713649e-35,0.251200733179634,0.109,0.845,1.8715007534273e-31
"RP11-50D16.4",1.56092478263535e-34,-0.405752756895315,0,0.149,3.12184956527069e-31
"F13A1",1.76980538024881e-34,0.591334104512397,0.095,0.828,3.53961076049762e-31
"FAM107A",6.47994614036627e-34,0.277733301875426,0.117,0.851,1.29598922807325e-30
"NTN4",1.5465525233443e-33,-0.25019924235716,0.011,0.736,3.09310504668861e-30
"CDH12",2.26556979322397e-33,0.25772568272995,0.142,0.885,4.53113958644793e-30
"PGM2L1",3.64644650507399e-33,-0.441506595098978,0.036,0.764,7.29289301014797e-30
"CHRM5",1.99879304678652e-32,-0.821388698007815,0.015,0.753,3.99758609357303e-29
"TTC8",2.21241515183079e-32,-0.330057302790163,0.029,0.747,4.42483030366158e-29
"NCALD",3.84840427115139e-32,-0.407187355915679,0.015,0.736,7.69680854230278e-29
"MAP2",8.26699899083898e-31,-0.709517019696876,0.08,0.787,1.6533997981678e-27
"SGCZ",1.18947503550494e-30,0.350446055875008,0.139,0.856,2.37895007100987e-27
"SLC35F1",1.75074967333594e-30,-0.887679214170273,0.055,0.764,3.50149934667187e-27
"CPE",7.4634563970818e-30,-0.55632310267066,0.124,0.828,1.49269127941636e-26
"TMEM132B",8.2366579429096e-30,-0.325412026010654,0.073,0.782,1.64733158858192e-26
"WLS",8.81144927696724e-30,-0.272080390812825,0.047,0.759,1.76228985539345e-26
"NRCAM",1.13190516021443e-29,-1.52290436616646,0.084,0.782,2.26381032042886e-26
"SYNE2",3.75378423555228e-29,-0.552874513826684,0.051,0.764,7.50756847110456e-26
"KCTD16",2.19416269147425e-28,-0.503323708503822,0.018,0.724,4.38832538294851e-25
"ENC1",2.38432160665557e-28,-0.314412176091723,0,0.701,4.76864321331113e-25
"RP4-630C24.3",2.38432160665557e-28,-0.299550851428241,0,0.178,4.76864321331113e-25
"LINC00598",3.8391665543752e-28,0.353724114303424,0.12,0.833,7.67833310875039e-25
"IGKC",4.84867341048923e-28,0.42692050264315,0.131,0.833,9.69734682097845e-25
"GRIN2A",5.0809360320031e-28,-0.252555008340153,0.033,0.184,1.01618720640062e-24
"SCN3A",2.38331520615705e-27,-0.453130115046457,0.015,0.184,4.76663041231411e-24
"LUZP2",2.93873297941831e-27,-0.529329525322726,0.099,0.782,5.87746595883661e-24
"APCDD1",3.18241085712969e-27,-0.558147653198223,0.055,0.753,6.36482171425938e-24
"SLC25A18",3.3919921444045e-27,-0.262360312879165,0.015,0.718,6.78398428880899e-24
"EFCAB11",8.79542780766153e-27,-0.301678710231742,0.04,0.736,1.75908556153231e-23
"FAM19A4",1.0150548896928e-26,-0.291332118467202,0.091,0.787,2.03010977938561e-23
"AC104123.1",1.30947727559622e-26,0.445815299496543,0.186,0.902,2.61895455119244e-23
"SNTG1",1.84105033803125e-26,-1.5384508795616,0.033,0.718,3.6821006760625e-23
"STPG2",3.09899224653244e-26,-0.26995483619198,0.168,0.868,6.19798449306487e-23
"UBE3D",3.9379976447218e-25,-0.399862510410764,0.08,0.776,7.8759952894436e-22
"ATF3",4.37978152623574e-25,0.501763642126941,0.164,0.851,8.75956305247148e-22
"MIR325HG",6.0690281430339e-25,-0.350910388224443,0,0.195,1.21380562860678e-21
"NCF1",8.77462439102786e-25,0.250433682830633,0.102,0.793,1.75492487820557e-21
"PCDH7",2.16310058152096e-24,-1.06538854078409,0.047,0.718,4.32620116304192e-21
"S100A10",3.09917495687306e-24,0.317633134586419,0.095,0.77,6.19834991374612e-21
"PPP2R2B",3.8587159750119e-24,-1.3016641673403,0.591,0.966,7.7174319500238e-21
"TRERF1",5.41311734785115e-24,-0.440488084727313,0.102,0.782,1.08262346957023e-20
"ARHGAP31",7.39557180006607e-24,-0.263362993222513,0.135,0.822,1.47911436001321e-20
"PHACTR2",8.52087049367529e-24,-0.377080702487637,0.168,0.851,1.70417409873506e-20
"EPHB1",1.77465759223027e-23,-0.336533626540475,0.026,0.701,3.54931518446054e-20
"SLC44A5",1.92075239960928e-23,-0.285429264975001,0.029,0.701,3.84150479921856e-20
"TMEM132C",2.80068311438255e-23,-0.807631000678964,0.15,0.81,5.60136622876511e-20
"PARD3",4.36698375506393e-23,-0.662585577906144,0.095,0.759,8.73396751012785e-20
"TSPAN8",5.28621184574498e-23,-0.251264700370631,0.022,0.695,1.057242369149e-19
"PDE10A",7.33118506894055e-23,-0.315621397922259,0.026,0.701,1.46623701378811e-19
"CD44",9.02797954035128e-23,0.425391514339885,0.153,0.828,1.80559590807026e-19
"EGFR",9.52623594822542e-23,-0.522198594891853,0.007,0.678,1.90524718964508e-19
