"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SUGCT",9.36656818904438e-24,-0.322637168836353,0.925,0.328,1.87331363780888e-20
"MT-ND3",1.69003614544344e-23,1.85518282512146,0.873,0.787,3.38007229088688e-20
"LINC00499",1.33529589694476e-20,-0.311212798155815,0.85,0.264,2.67059179388952e-17
"FAM196B",7.88682995377483e-20,-0.364342158596194,0.948,0.511,1.57736599075497e-16
"ADAMTS19",2.9303989034104e-19,-0.251388445456843,0.988,0.787,5.8607978068208e-16
"MT-ND4",4.21602766885525e-19,1.30864957470575,0.85,0.759,8.4320553377105e-16
"XIST",2.33105326647537e-18,1.15362162647829,0.855,0.678,4.66210653295074e-15
"MT-CO2",3.41514123320699e-18,1.54503155806866,0.838,0.839,6.83028246641398e-15
"MT-ND2",5.66533631131487e-18,1.36890965398351,0.884,0.816,1.13306726226297e-14
"RP4-630C24.3",6.2985954795695e-18,-0.275095039110087,0.63,0.178,1.2597190959139e-14
"SGCZ",5.71127941397058e-17,0.257104205082819,0.977,0.856,1.14225588279412e-13
"SLC35F3",9.91959107322239e-17,-0.314550765840657,0.942,0.414,1.98391821464448e-13
"MPP6",2.28517448885343e-16,-0.26485015534867,0.977,0.672,4.57034897770686e-13
"CACNB2",8.58745164192755e-16,-0.298187468056368,0.971,0.592,1.71749032838551e-12
"CTD-2058B24.2",8.07603023305854e-15,-0.321990268721626,0.723,0.247,1.61520604661171e-11
"JPH1",4.96189658268895e-14,-0.285602488649228,0.983,0.638,9.9237931653779e-11
"AC104820.2",8.70674837820847e-14,0.425748970298394,0.89,0.494,1.74134967564169e-10
"CACNA2D3",1.0323636067053e-13,-0.471746390920584,0.913,0.356,2.06472721341059e-10
"LINC01099",1.31675410076478e-13,-0.387298265427753,0.948,0.5,2.63350820152956e-10
"PGM2L1",2.50313256154039e-13,-0.425550951042664,0.543,0.764,5.00626512308078e-10
"MT-ATP6",2.87479205575789e-13,1.43812585474515,0.798,0.787,5.74958411151577e-10
"PACRG-AS3",7.79565140513644e-13,0.624373014333318,0.364,0.672,1.55913028102729e-09
"ENPP6",1.32811184311498e-12,-0.389360155544351,0.913,0.546,2.65622368622996e-09
"TMEM232",1.52207010299109e-12,-0.396303759920414,0.746,0.287,3.04414020598217e-09
"HCG22",6.85648696974162e-12,-0.690669956462777,0.162,0.437,1.37129739394832e-08
"CHSY3",1.1076133180788e-11,-0.328035942597243,0.988,0.759,2.21522663615759e-08
"CPNE8",2.40838339185908e-11,0.263490552239783,0.954,0.736,4.81676678371817e-08
"KCND2",3.41508082875322e-11,-0.978077898176864,0.792,0.333,6.83016165750645e-08
"LHFPL3",5.23414526210916e-11,-0.84368108416186,0.988,0.707,1.04682905242183e-07
"KCTD1",7.33067917969101e-11,-0.254326498229815,0.896,0.333,1.4661358359382e-07
"PHYHIP",8.31821556729062e-11,0.514075748102862,0.335,0.603,1.66364311345812e-07
"ZC3H12B",1.09860348609628e-10,-0.440493149804316,1,0.718,2.19720697219255e-07
"INPP4B",1.49940799665429e-10,-0.314329464569267,0.618,0.27,2.99881599330858e-07
