"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AL392023.2",2.95970645467765e-38,-0.254062895117576,0.053,0.925,5.9194129093553e-35
"CDH4",4.36126751845702e-38,-0.461627070974014,0.015,0.862,8.72253503691405e-35
"MAP3K7CL",1.57270600906328e-35,-0.25115867739069,0.015,0.845,3.14541201812656e-32
"CDKN1A",1.20492961791629e-32,-0.466432906469931,0.06,0.868,2.40985923583258e-29
"AP000282.1",1.74255621487466e-31,0.259138351274286,0.083,0.897,3.48511242974933e-28
"VEGFA",2.1472524213827e-30,-0.597135262197956,0.03,0.828,4.2945048427654e-27
"AC138627.1",4.58176865475717e-29,0.312332429938098,0.098,0.902,9.16353730951434e-26
"KCND3",4.59951707605525e-29,-0.251458679792673,0.045,0.833,9.1990341521105e-26
"TPST1",8.64379489131443e-29,-0.657339488497684,0.09,0.879,1.72875897826289e-25
"RUNX1T1",9.96757531267934e-29,-0.43643965472307,0.068,0.856,1.99351506253587e-25
"AL365275.1",5.87711991389857e-28,0.322250247871226,0.083,0.862,1.17542398277971e-24
"AP001636.3",9.24614832023814e-28,0.314778081164287,0.09,0.862,1.84922966404763e-24
"AC114763.1",1.18853933077028e-27,0.28311787296227,0.105,0.891,2.37707866154056e-24
"LINC01322",1.40847544795501e-27,-0.353514491547001,0.075,0.851,2.81695089591002e-24
"AC113414.1",1.5453658408522e-26,0.359106896574151,0.12,0.908,3.09073168170439e-23
"PPP1R15A",2.14254517849783e-26,0.478213149570504,0.105,0.874,4.28509035699565e-23
"GABRB2",2.94468615874389e-26,-0.337529291513647,0.045,0.81,5.88937231748779e-23
"BLM",3.2869448694122e-26,-0.281591505880095,0.008,0.776,6.57388973882441e-23
"TAGAP",3.91422376612713e-26,-0.381798999986624,0.045,0.816,7.82844753225425e-23
"RFC3",5.20032112891053e-26,-0.317037725881364,0.068,0.839,1.04006422578211e-22
"ANKRD6",5.74331172945284e-26,-0.295085822415261,0.038,0.805,1.14866234589057e-22
"CYTIP",1.93883490946297e-25,-0.312032416005992,0.083,0.845,3.87766981892593e-22
"ACTN2",1.12241592180931e-24,-0.667712594848923,0.098,0.868,2.24483184361862e-21
"AL034405.1",2.01063750999936e-24,0.312791972949466,0.113,0.879,4.02127501999872e-21
"CLSTN2",9.16842341079219e-24,-0.345866745129355,0.03,0.782,1.83368468215844e-20
"SULF2",1.6023183292667e-23,-0.510789040711725,0.03,0.776,3.20463665853341e-20
"FAM107A",4.09111359271883e-23,0.653658329369667,0.105,0.851,8.18222718543767e-20
"CPE",8.11775888368894e-23,-0.692565804173961,0.09,0.828,1.62355177673779e-19
"MB21D2",1.5002818615667e-22,-0.309346459973663,0.09,0.833,3.0005637231334e-19
"C5orf17",3.07394304948843e-22,0.526808375390634,0.135,0.874,6.14788609897685e-19
"NRCAM",5.39293758597466e-22,-1.31174746934722,0.045,0.782,1.07858751719493e-18
"EMB",1.11467346360571e-21,0.320596588221254,0.09,0.161,2.22934692721141e-18
"RP11-96H19.1",1.96330429804429e-21,-0.394268072177893,0,0.144,3.92660859608858e-18
"SLC35F1",4.34970207302469e-21,-0.747685789072815,0.03,0.764,8.69940414604937e-18
"AC078881.1",6.33402482931399e-21,0.410442172219852,0.165,0.914,1.2668049658628e-17
"AC092691.1",8.15696234203071e-21,0.277589312330787,0.158,0.879,1.63139246840614e-17
"FAM19A4",9.68586617674998e-21,-0.365758602484961,0.053,0.787,1.93717323535e-17
"ADAMTS17",1.02633078712974e-20,-0.682495987280974,0.06,0.793,2.05266157425948e-17
"RP11-50D16.4",1.13804757395343e-20,-0.405752756895315,0,0.149,2.27609514790685e-17
"LINC02328",1.8683387458706e-20,0.417967518443866,0.15,0.879,3.7366774917412e-17
"SLC7A5",4.02231570595015e-20,-0.371073741912079,0.135,0.851,8.04463141190031e-17
"SGCZ",4.3136794018244e-20,0.742475644763782,0.135,0.856,8.6273588036488e-17
"CMYA5",8.47622455124699e-20,-0.272555449249568,0.015,0.736,1.6952449102494e-16
"HK2",1.58317405698619e-19,-0.49446048043979,0.128,0.839,3.16634811397237e-16
"ALDH1A2",1.42249931277446e-18,0.274795093530002,0.068,0.776,2.84499862554891e-15
"RGS16",2.03063031638253e-18,-0.995721966936398,0.023,0.736,4.06126063276506e-15
"FGFR1",2.52625200949798e-18,-0.362691198939395,0.173,0.874,5.05250401899596e-15
"TTC8",3.58365116467218e-18,-0.289071715831581,0.045,0.747,7.16730232934436e-15
"LUZP2",4.05729145389276e-18,-0.534779769054849,0.09,0.782,8.11458290778552e-15
"ARHGEF3",9.06611581371123e-18,-0.399794013129826,0.075,0.787,1.81322316274225e-14
"PLEKHG1",9.7889792731888e-18,-0.40410637931216,0.045,0.764,1.95779585463776e-14
"SLC2A3",1.68352450918125e-17,-0.672131460998733,0.113,0.799,3.36704901836251e-14
"DPH6-DT",2.87221896372568e-17,0.452840797047083,0.188,0.897,5.74443792745136e-14
"PGM2L1",2.98490430419951e-17,-0.302827732242318,0.068,0.764,5.96980860839903e-14
"RP4-630C24.3",4.49280995590815e-17,-0.299550851428241,0,0.178,8.9856199118163e-14
"INPP5F",5.08909124639136e-17,-0.380208625631998,0.203,0.891,1.01781824927827e-13
"S100Z",5.14938536753285e-17,-0.346228084315601,0.143,0.828,1.02987707350657e-13
"KCTD16",5.99123590222059e-17,-0.481019110403072,0.023,0.724,1.19824718044412e-13
"IGKC",6.83963227894655e-17,0.387990564890423,0.143,0.833,1.36792645578931e-13
"SCN3A",7.02074665195763e-17,-0.433205453053632,0.03,0.184,1.40414933039153e-13
"APCDD1",1.60101096454757e-16,-0.526961229016188,0.06,0.753,3.20202192909515e-13
"SYNE2",1.63804070015142e-16,-0.363938562987729,0.068,0.764,3.27608140030285e-13
"GPNMB",1.98028875877793e-16,0.36082945872079,0.143,0.839,3.96057751755587e-13
"F13A1",2.50319223222302e-16,0.481569746617616,0.143,0.828,5.00638446444604e-13
