"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT-ND3",3.31833246967734e-17,1.54550670966153,1,0.787,6.63666493935468e-14
"NTM",1.38250669196573e-07,-1.2618464557582,0.68,0.891,0.000276501338393146
"MT-ND4",4.77896533243423e-07,1.05903457644377,0.9,0.759,0.000955793066486845
"CRYAB",1.02520298860895e-06,0.976623588949816,0.92,0.845,0.0020504059772179
"LRRK2",2.52161483963222e-06,-0.405012261737903,0.56,0.81,0.00504322967926443
"FABP5",3.6887067160073e-06,0.356886684516471,0.8,0.511,0.0073774134320146
"MT-CO2",1.12718276702995e-05,1.20923333193119,0.9,0.839,0.022543655340599
"MT-ND2",1.36505891392744e-05,0.852531027103396,0.9,0.816,0.0273011782785487
"VIM",1.60779383484052e-05,0.743331556290745,0.96,0.828,0.0321558766968104
"CPNE8",2.6150589341765e-05,0.324037652196147,0.94,0.736,0.05230117868353
"MT-CO3",4.32879468370518e-05,0.880608376990124,0.92,0.839,0.0865758936741036
"HLA-DPA1",4.40193755976968e-05,0.968926199947607,0.86,0.655,0.0880387511953935
"FAM107A",4.78894141038845e-05,0.403091296687715,1,0.851,0.0957788282077689
"EGR1",4.8869305218105e-05,0.509009538666106,1,0.816,0.09773861043621
"APOE",6.05505370786141e-05,1.32847058424671,0.68,0.506,0.121101074157228
"STK33",6.43280501934631e-05,-0.305812577060886,0.64,0.293,0.128656100386926
"STMN2",7.43583337303931e-05,0.545662964628071,0.86,0.609,0.148716667460786
"EPN2",0.000132572248244466,-0.888547447281626,0.84,0.897,0.265144496488933
"FTL",0.000133719617579849,0.885038909017402,0.86,0.822,0.267439235159697
"LINC01141",0.000149003146454847,-0.253259978610537,0.88,0.701,0.298006292909694
"ZEB1-AS1",0.000159425860443406,-0.424200721595913,0.18,0.345,0.318851720886813
"PLCB4",0.000176032521862636,-0.311040066977459,0.92,0.661,0.352065043725272
"LCP2",0.000183383043779487,0.384925089184479,0.9,0.632,0.366766087558975
"SULT1C2",0.000184779130099457,0.271598650909049,0.26,0.425,0.369558260198914
"AC004852.2",0.000188453867861278,-0.252952166620434,0.18,0.414,0.376907735722555
"NELL2",0.0002058565185288,-0.26964873349632,0.74,0.466,0.4117130370576
"RASSF3",0.000208051584293586,0.775075936229521,0.92,0.851,0.416103168587172
"RP11-572M11.4",0.00023367475337405,-0.328407699136385,0.9,0.552,0.467349506748099
"MT-ATP6",0.000263623062439256,0.815610846844867,0.84,0.787,0.527246124878512
"PLP1",0.000285087204378349,0.417751811946942,1,0.948,0.570174408756698
"AKIRIN1",0.000324881854952543,0.307327920904019,0.96,0.592,0.649763709905086
"KIAA1211L",0.000349845570777158,-0.337914202582414,0.94,0.707,0.699691141554317
"ERBB4",0.000565283010007904,-0.751855224330252,0.74,0.885,1
"PLPPR5",0.00061058367055149,-0.251694956118783,0.34,0.529,1
"ITGB2",0.0006582697958598,0.642355094527263,0.34,0.523,1
"TOX3",0.000714705569501581,0.347116652856369,0.84,0.603,1
"MYT1",0.000867625396651823,-0.254213230762043,0.16,0.345,1
"MT-ND1",0.00104770184742404,1.03966811340575,0.76,0.741,1
"CD68",0.00111054155570275,0.399903209631999,0.22,0.414,1
"TAGAP",0.00119215287690056,-0.375902978788937,0.9,0.816,1
"CSRNP3",0.00123596679079001,0.632746759030178,0.9,0.592,1
"PDGFRA",0.00127618696126856,-0.45530074060788,0.14,0.356,1
"PMP2",0.00179706422618049,-0.348940418512871,0.96,0.73,1
"FMN1",0.00180175042152798,0.945856954193042,0.74,0.575,1
"LSAMP",0.00196025241915845,-1.20215734251628,0.72,0.776,1
"MBOAT1",0.00196841556545328,0.34765527660384,0.88,0.58,1
"BEX1",0.00198491704476019,0.388534817982242,0.78,0.489,1
"HHATL",0.00208662124807917,-0.34858942789814,0.12,0.414,1
"MT1F",0.00208662124807917,0.323477150568304,0.3,0.431,1
"MYRIP",0.00209226711930714,0.455438676011502,0.96,0.764,1
"DIRC3",0.00209226711930714,-0.301956128775647,0.9,0.805,1
"DBI",0.00210402943701013,-0.663897366578341,0.22,0.443,1
"ACTN2",0.00218201286191393,0.718957478681953,0.98,0.868,1
"S100A11",0.00230700549037102,0.752935369767886,0.72,0.546,1
"LINC00996",0.00235905862146851,-0.363555561569115,0.72,0.42,1
"SNUPN",0.00238299091980517,0.251983940447796,0.72,0.546,1
"SCG3",0.00244241410662863,-0.297917556091994,0.3,0.471,1
"FCGR3A",0.00250445973273043,-0.395014507522099,0.32,0.454,1
"AQP4-AS1",0.00280398490287861,-0.406044960967504,0.92,0.575,1
"GPC5",0.00280552347360168,-0.376030219501254,0.96,0.661,1
"LINC00461",0.00294341951977769,-0.42619730184273,0.24,0.454,1
"CXCR4",0.00297164537698466,0.366911282487134,0.84,0.718,1
"MT-CO1",0.00302575021833568,0.721757540004253,0.8,0.793,1
"S100Z",0.00311574816437903,0.427749183286047,0.96,0.828,1
"PID1",0.00314086131503757,-0.654154036595752,0.88,0.736,1
"MIR219A2",0.00359511368536733,0.331994479076723,0.68,0.437,1
"HECW1",0.00365444230097884,-0.325299420883091,0.64,0.391,1
"GRM7",0.0036815620319951,-0.571061295486374,0.94,0.603,1
"GREB1L",0.00378218220224653,-0.363765374139855,0.94,0.764,1
"LINC01266",0.00428025337499947,-0.266858809657604,0.92,0.741,1
"LRRN1",0.0045489236362096,-0.507901384386445,0.3,0.397,1
"JAK3",0.00470011733114859,-0.292511897189782,0.32,0.46,1
"MERTK",0.00535421677975555,0.816086706696719,0.98,0.764,1
"PTPRM",0.00633094331035913,1.03343841636036,0.98,0.897,1
"PPP2R2B",0.00633878557160168,-0.560378591884688,0.92,0.966,1
"TMSB4X",0.0068780347083739,0.421395111370984,0.84,0.793,1
"INPP4B",0.00697705198818624,0.287040784517042,0.48,0.27,1
"KCNQ5",0.00703328589118585,-0.289815378773834,0.82,0.644,1
"THRB",0.00738802970533939,-0.481925499198211,0.9,0.695,1
"GRIN2B",0.00749805606737057,-0.263037864560905,0.64,0.42,1
"MAFB",0.00767513041634488,0.532200395852006,0.96,0.753,1
"LUZP2",0.008070532691741,-1.12358994048014,0.78,0.782,1
"SLC35F3",0.00907205016232462,0.358736085465091,0.64,0.414,1
"AL392023.2",0.00949374500252576,-0.361230645782689,1,0.925,1
"HSPA1A",0.00977312094179622,-0.788296985330409,1,0.943,1
"SLC38A1",0.00995832774299589,-0.427005403531182,0.24,0.293,1
"FOXP2",0.0100549484197776,-0.324536152326031,0.96,0.626,1
"ROBO2",0.0101787224993302,-0.3429384044733,0.74,0.489,1
"FRMD4A",0.0103523151900416,-0.260688883868697,1,0.983,1
"SEMA3E",0.0104691963417983,-0.59592819219801,0.7,0.684,1
"RYR1",0.0109485974243364,-0.428600292830114,0.98,0.776,1
"RALGPS2",0.0121493141342452,-0.297994184666623,0.88,0.851,1
"LAPTM5",0.0122466354017264,0.36573793272381,0.22,0.362,1
"HK2",0.0124116145406601,0.324770883960663,0.96,0.839,1
"ID2",0.0124941920687751,-1.19974823848215,0.22,0.362,1
"TMSB10",0.0130277675240868,1.45766489448157,0.64,0.437,1
"COL9A1",0.0132968648830671,-0.645705642377996,0.46,0.483,1
"HLA-B",0.0135005027778831,0.913128763593236,0.82,0.701,1
