"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"UPP2",4.94510163698459e-32,-0.315596268528868,0.209,0.799,9.89020327396917e-29
"AC007495.1",9.22385374748509e-28,0.456818159776664,0.243,0.885,1.84477074949702e-24
"MFAP1",5.97412163851232e-24,-0.460958986073776,0.119,0.557,1.19482432770246e-20
"NTN4",2.00352286545031e-21,-0.280067313633505,0.198,0.736,4.00704573090063e-18
"AP000282.1",5.53269781627946e-21,0.265028623452404,0.452,0.897,1.10653956325589e-17
"RP11-96H19.1",5.5355040734765e-21,-0.351850945522115,0.051,0.144,1.1071008146953e-17
"LIX1-AS1",1.87280419911296e-20,0.330925520569833,0.322,0.845,3.74560839822592e-17
"PLS3-AS1",4.19438315258662e-20,-0.325690834917266,0.22,0.592,8.38876630517325e-17
"SCN3A",4.89164861998526e-20,-0.321886292718157,0.723,0.184,9.78329723997053e-17
"NKAIN3",5.34095438338229e-20,-0.456278417697884,0.169,0.58,1.06819087667646e-16
"TMEM178B",8.29171432663007e-20,-0.677045162442744,0.203,0.649,1.65834286532601e-16
"LINC00271",8.6195957154157e-20,-0.355497567355632,0.113,0.557,1.72391914308314e-16
"ABCA9",9.38308883613615e-20,0.43478940215976,0.938,0.592,1.87661776722723e-16
"APCDD1",5.38618715948094e-19,-0.593079782520838,0.35,0.753,1.07723743189619e-15
"LINC02328",1.5883784504893e-18,0.396998418923563,0.294,0.879,3.1767569009786e-15
"MS4A4A",3.42528954234753e-18,-0.264673626291277,0.186,0.747,6.85057908469507e-15
"RP11-50D16.4",1.23186844961892e-17,-0.361482056750354,0.023,0.149,2.46373689923785e-14
"BRIP1",1.4765656263112e-17,0.374082728095609,0.232,0.816,2.95313125262241e-14
"EPM2A",1.51122091990328e-17,-0.320597111544737,0.203,0.586,3.02244183980655e-14
"MCUB",1.10274682162839e-16,0.356335171135027,0.288,0.793,2.20549364325678e-13
"PDE10A",1.61664855132911e-16,-0.284712674453255,0.266,0.701,3.23329710265822e-13
"MTERF1",2.51622527120715e-16,-0.305547698567353,0.305,0.81,5.03245054241431e-13
"SUCLG2-AS1",2.57366080601801e-16,-0.702767916088004,0.35,0.695,5.14732161203603e-13
"CC2D2B",4.68888729837612e-16,0.382988008144847,0.266,0.609,9.37777459675225e-13
"AC090502.1",6.38405303957301e-16,-0.258084887112437,0.367,0.96,1.2768106079146e-12
"TIMP1",9.48230439260064e-16,0.516924073786159,0.26,0.678,1.89646087852013e-12
"FGF14",1.14807340746885e-14,-0.311751090503069,0.831,0.282,2.29614681493769e-11
"CHRM5",1.42830366265251e-14,-0.376012234431392,0.322,0.753,2.85660732530503e-11
"DAB1",2.24292549968913e-14,-0.768535853118062,0.243,0.598,4.48585099937826e-11
"EZH2",4.20689298786528e-14,0.519753139631454,0.407,0.776,8.41378597573056e-11
"SOX6",5.45683648268908e-14,-0.368055370115142,0.26,0.546,1.09136729653782e-10
"TNR",7.04469437232608e-14,-1.17611157832247,0.147,0.483,1.40893887446522e-10
"MEG8",1.04874825697523e-13,-0.484314942744694,0.288,0.592,2.09749651395046e-10
"ZSWIM5",1.1685302635959e-13,-0.323364742442877,0.26,0.655,2.3370605271918e-10
"CSPG5",1.44643223126828e-13,-0.570318952383339,0.271,0.655,2.89286446253657e-10
"TTC8",1.74618174170617e-13,-0.292868677170075,0.412,0.747,3.49236348341234e-10
"CHN1",1.83133603992555e-13,-0.401198600483595,0.316,0.741,3.66267207985111e-10
"BRINP1",2.00609370214963e-13,1.10345620850125,0.158,0.27,4.01218740429926e-10
"ADAMTS18",2.12819232127591e-13,-0.256679266311118,0.379,0.77,4.25638464255181e-10
