"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"BCL6",0,1.95297083273398,0.675,0.054,0
"ERBIN",0,1.61704704292068,0.928,0.452,0
"B2M",0,1.59658810511853,0.729,0.174,0
"PTPN13",0,1.44102443497429,0.811,0.262,0
"TPST1",0,1.43987012070431,0.532,0.086,0
"GPR155",0,1.35570510581246,0.533,0.051,0
"GTF2H2C",0,1.3256632107141,0.529,0.065,0
"AC116366.3",0,1.29435599605488,0.516,0.095,0
"CD47",0,1.25674607461528,0.772,0.272,0
"PLA2G4C",0,1.23086185105029,0.694,0.225,0
"CNDP1",0,1.22614405243333,0.836,0.402,0
"KCNMB4",0,1.22482901313787,0.86,0.406,0
"CAMK2D",0,1.20189103237146,0.589,0.161,0
"AC006059.1",0,1.1628091654459,0.657,0.224,0
"GALNT15",0,1.15161376823909,0.552,0.121,0
"ALDH3A2",0,1.09984289889833,0.579,0.088,0
"AC016831.7",0,1.0954364689332,0.822,0.338,0
"L3MBTL4",0,1.08533139637384,0.735,0.315,0
"SH3PXD2B",0,1.07816682408981,0.644,0.19,0
"QDPR",0,1.07341542903559,0.872,0.384,0
"TXNRD1",0,1.05474402969162,0.506,0.085,0
"CD55",0,1.04635103034623,0.603,0.142,0
"PTPRJ",0,1.04525142897813,0.739,0.271,0
"LURAP1L-AS1",0,1.04452887940067,0.604,0.152,0
"CDH19",0,1.03784625028827,0.758,0.305,0
"STK3",0,1.02657220290486,0.727,0.27,0
"ASAP1",0,1.02607685912672,0.623,0.195,0
"GLUL",0,1.00600352204977,0.798,0.331,0
"ATP2B4",0,0.984933472730897,0.562,0.129,0
"ELF2",0,0.982251034003475,0.836,0.393,0
"RHOQ",0,0.956093815953081,0.5,0.091,0
"AC096564.1",0,0.953919032440651,0.589,0.179,0
"TIAM1",0,0.946590628970585,0.553,0.145,0
"RPS6KA2",0,0.944268505301195,0.699,0.28,0
"AC013394.1",0,0.944001478956975,0.518,0.133,0
"H3F3B",0,0.9419649521101,0.764,0.282,0
"TMSB10",0,0.933929327413202,0.513,0.059,0
"ZNF708",0,0.929812469480132,0.786,0.322,0
"TSC22D4",0,0.922292663261285,0.717,0.21,0
"PDE4DIP",0,0.911765785616827,0.685,0.264,0
"DOCK1",0,0.908932788336238,0.869,0.463,0
"FKBP5",0,0.894135765517008,0.69,0.258,0
"ELL2",0,0.87925442662146,0.807,0.442,0
"NAV2",3.29631902269383e-280,0.87830631012694,0.624,0.271,1.42737206320688e-275
"SLC9A9",0,0.860399458766664,0.78,0.375,0
"SELENOW",0,0.852625749565299,0.696,0.191,0
"ANO4",0,0.851411533980799,0.821,0.403,0
"STAT3",0,0.843062474358544,0.55,0.125,0
"HIVEP2",0,0.839840350833868,0.515,0.152,0
"CSMD2",0,0.835153231236471,0.544,0.166,0
"ADGRL3",0,0.8323949080162,0.527,0.179,0
"HDAC4",0,0.830045408866302,0.685,0.264,0
"ELOVL5",0,0.828049984642421,0.617,0.235,0
"SH3RF1",0,0.82141679477536,0.519,0.157,0
"RETREG1",0,0.81913027357171,0.794,0.346,0
"HDAC2-AS2",5.75695325205361e-254,0.814333826029949,0.678,0.302,2.49287589720426e-249
"NCOA1",0,0.813543612168477,0.796,0.379,0
"C1QTNF3-AMACR",0,0.798707461336534,0.767,0.367,0
"ADK",0,0.793787282257344,0.554,0.201,0
"CLU",0,0.790212133864222,0.733,0.177,0
"UBC",0,0.782277953547388,0.697,0.206,0
"ARHGAP21",0,0.771698382633438,0.938,0.654,0
"PCGF5",0,0.770625154597918,0.754,0.336,0
"ROBO1",0,0.769446696239799,0.804,0.395,0
"TANC1",0,0.769189084032555,0.69,0.304,0
"PHACTR1",0,0.761438045319088,0.57,0.208,0
