"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ABCA6",0,1.4630986318479,0.936,0.7,0,"0","ABCA6"
"XIST",0,1.25989711065941,0.886,0.46,0,"0","XIST"
"RANBP17",0,1.17290945074097,0.785,0.614,0,"0","RANBP17"
"LURAP1L-AS1",0,1.09236966513838,0.823,0.597,0,"0","LURAP1L-AS1"
"GPC5",0,1.02837325650676,0.614,0.519,0,"0","GPC5"
"ENPP6",0,0.904354558404049,0.657,0.552,0,"0","ENPP6"
"KCTD8",0,0.818730894335983,0.822,0.675,0,"0","KCTD8"
"ZDHHC20",0,0.814826257017277,0.933,0.818,0,"0","ZDHHC20"
"LINC00609",0,0.799353597735188,0.947,0.767,0,"0","LINC00609"
"S100B",0,0.741813346579216,0.699,0.549,0,"0","S100B"
"AC026316.5",0,0.735354402342039,0.968,0.856,0,"0","AC026316.5"
"DPYSL5",0,0.688620126122869,0.795,0.703,0,"0","DPYSL5"
"SLC5A11",0,0.681463491362242,0.827,0.678,0,"0","SLC5A11"
"NKAIN2",0,0.533762279861648,0.994,0.903,0,"0","NKAIN2"
"ST6GALNAC3",0,0.527062964945681,0.904,0.802,0,"0","ST6GALNAC3"
"PLP1",0,0.510602517347476,0.99,0.951,0,"0","PLP1"
"LRP2",1.47306211251387e-304,0.604715900385366,0.845,0.747,2.94612422502774e-301,"0","LRP2"
"SPP1",1.91132891064756e-285,0.475450800645411,0.813,0.687,3.82265782129512e-282,"0","SPP1"
"PCSK6",2.19014708695342e-269,0.503610932008175,0.922,0.841,4.38029417390685e-266,"0","PCSK6"
"ABCA9",5.30144958473693e-266,0.772036331097982,0.602,0.556,1.06028991694739e-262,"0","ABCA9"
"ACTN2",5.16820530791932e-248,0.682161559370335,0.651,0.571,1.03364106158386e-244,"0","ACTN2"
"TUBA1A",2.39596558406563e-240,0.505398246872126,0.771,0.65,4.79193116813125e-237,"0","TUBA1A"
"AFF3",1.53000774541862e-236,0.893752281789868,0.638,0.589,3.06001549083724e-233,"0","AFF3"
"COL18A1",1.2560459535649e-234,0.784340296315511,0.622,0.571,2.51209190712981e-231,"0","COL18A1"
"SLC25A29",3.20845756941822e-234,0.628464360229338,0.637,0.539,6.41691513883643e-231,"0","SLC25A29"
"KIRREL3",5.05147984191215e-233,0.33618259122813,0.965,0.854,1.01029596838243e-229,"0","KIRREL3"
"ANKRD18A",1.59491515885823e-231,0.728075525789485,0.644,0.566,3.18983031771646e-228,"0","ANKRD18A"
"RYR2",2.19878039383646e-226,0.589780888869299,0.658,0.554,4.39756078767291e-223,"0","RYR2"
"NEGR1",8.9928191578022e-217,0.497317459337535,0.765,0.671,1.79856383156044e-213,"0","NEGR1"
"BCL2",5.15977056158984e-214,0.550774081701613,0.746,0.657,1.03195411231797e-210,"0","BCL2"
"MOBP",4.77618460683203e-211,0.30342195517772,0.964,0.876,9.55236921366407e-208,"0","MOBP"
"CYP7B1",3.39004378200468e-202,0.622772340143713,0.664,0.568,6.78008756400935e-199,"0","CYP7B1"
"AC027117.2",2.48118486131326e-189,0.61667021075361,0.539,0.49,4.96236972262653e-186,"0","AC027117.2"
"CNTNAP4",1.05386632464017e-162,0.291417662607192,0.839,0.747,2.10773264928034e-159,"0","CNTNAP4"
"CALN1",3.73559882582779e-156,0.569964583691098,0.7,0.671,7.47119765165558e-153,"0","CALN1"
"LMCD1-AS1",7.82933978930297e-144,0.300458896635933,0.785,0.693,1.56586795786059e-140,"0","LMCD1-AS1"
"APOD",9.88941725097314e-141,0.375281347695064,0.632,0.52,1.97788345019463e-137,"0","APOD"
"B2M",1.22199840279152e-139,0.257955229792558,0.661,0.536,2.44399680558304e-136,"0","B2M"
"LINC01505",1.3809675687911e-127,0.404223249163291,0.625,0.571,2.76193513758221e-124,"0","LINC01505"
"PHACTR1",1.09652151242071e-116,0.409125212893384,0.708,0.666,2.19304302484142e-113,"0","PHACTR1"
"CNTNAP3",9.28022816755844e-116,0.600254801482431,0.47,0.449,1.85604563351169e-112,"0","CNTNAP3"
"AGMO",1.47243119062012e-109,0.507395503055756,0.49,0.445,2.94486238124023e-106,"0","AGMO"
"AC090502.1",1.36928852507158e-108,0.358385479446132,0.623,0.553,2.73857705014316e-105,"0","AC090502.1"
"PDE4D",2.39257451411146e-108,0.281404958870424,0.705,0.631,4.78514902822291e-105,"0","PDE4D"
"MYRIP",3.11965579883952e-106,0.555618845262877,0.62,0.601,6.23931159767904e-103,"0","MYRIP"
"FSTL5",3.89480466423515e-103,0.493531258319123,0.436,0.428,7.78960932847029e-100,"0","FSTL5"
"CDKN1C",1.04806229525723e-99,0.518795839089379,0.496,0.429,2.09612459051446e-96,"0","CDKN1C"
"KANK4",1.25042596128914e-99,0.375083818688619,0.401,0.364,2.50085192257829e-96,"0","KANK4"
"MAGEC3",5.93301170564356e-97,0.545071443068719,0.553,0.52,1.18660234112871e-93,"0","MAGEC3"
"MYLK",4.24944457230975e-93,0.595740691960764,0.472,0.422,8.49888914461951e-90,"0","MYLK"
"TMPRSS5",1.53756165525502e-90,0.276195268953578,0.53,0.473,3.07512331051004e-87,"0","TMPRSS5"
"CFTR",2.37024393849833e-82,0.330520674863782,0.4,0.362,4.74048787699666e-79,"0","CFTR"
"RAD51B",1.15609594311835e-81,0.339401042041252,0.621,0.565,2.3121918862367e-78,"0","RAD51B"
"CDH8",5.19048282941208e-81,0.501364380628164,0.568,0.555,1.03809656588242e-77,"0","CDH8"
"LINC02511",2.32775031821751e-80,0.513987764771208,0.418,0.402,4.65550063643502e-77,"0","LINC02511"
"TMEM178A",5.59479767086823e-80,0.422276884661356,0.45,0.453,1.11895953417365e-76,"0","TMEM178A"
"MT3",1.41464959919446e-75,0.262029763666888,0.39,0.32,2.82929919838892e-72,"0","MT3"
"SORL1",2.09957152533301e-75,0.387960992133169,0.656,0.663,4.19914305066602e-72,"0","SORL1"
"ADAMTS18",4.45117838946069e-75,0.275878813385258,0.595,0.555,8.90235677892139e-72,"0","ADAMTS18"
"LHFPL6",7.04220533424915e-68,0.335719694774779,0.488,0.443,1.40844106684983e-64,"0","LHFPL6"
"PLD5",2.68287369195526e-66,0.35720459184549,0.622,0.588,5.36574738391051e-63,"0","PLD5"
