"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"SYNDIG1",0,2.77759787812795,0.603,0.128,0,"0"
"FRMD4A",0,2.73614762290457,0.822,0.327,0,"0"
"TBXAS1",0,2.43265358946427,0.714,0.159,0,"0"
"ARHGAP22",0,2.41429558534189,0.597,0.121,0,"0"
"PLXDC2",0,2.39866758207115,0.884,0.48,0,"0"
"HS3ST4",0,2.34966243341288,0.656,0.158,0,"0"
"DOCK8",0,2.32812610388605,0.733,0.19,0,"0"
"SRGAP2",0,2.32225943045334,0.715,0.221,0,"0"
"SLCO2B1",0,2.26948146649264,0.665,0.131,0,"0"
"MEF2C",0,2.26326590712164,0.784,0.306,0,"0"
"KCNQ3",0,2.26187312823029,0.615,0.215,0,"0"
"ELMO1",0,2.25806247707448,0.77,0.216,0,"0"
"INPP5D",0,2.24742501199151,0.636,0.151,0,"0"
"PALD1",0,2.24125344377665,0.552,0.105,0,"0"
"FYB1",0,2.23368260954507,0.68,0.148,0,"0"
"C3",0,2.16219970310431,0.582,0.15,0,"0"
"LRMDA",0,2.1573196866527,0.757,0.367,0,"0"
"AOAH",0,2.13276466893238,0.584,0.115,0,"0"
"CSF1R",0,2.1294632970748,0.581,0.119,0,"0"
"AC244021.1",0,2.12776750931667,0.426,0.089,0,"0"
"SLC8A1",0,2.12396572502121,0.699,0.235,0,"0"
"APBB1IP",0,2.12248049341842,0.702,0.18,0,"0"
"IPCEF1",0,2.12057033733831,0.46,0.101,0,"0"
"ST6GAL1",0,2.11857279721463,0.738,0.337,0,"0"
"AC074327.1",0,2.1126568640858,0.583,0.126,0,"0"
"P2RY12",0,2.10222484894058,0.381,0.051,0,"0"
"RASGEF1C",0,2.08449201044076,0.371,0.058,0,"0"
"RUNX1",0,2.08162251842098,0.664,0.212,0,"0"
"SRGAP2B",0,2.0647398005411,0.577,0.165,0,"0"
"HDAC9",0,2.05772481206356,0.532,0.133,0,"0"
"LHFPL2",0,2.05089309457023,0.577,0.192,0,"0"
"ATP8B4",0,2.03083307765093,0.577,0.124,0,"0"
"MEF2A",0,2.01914356278566,0.769,0.394,0,"0"
"ARHGAP24",0,2.00361503954019,0.802,0.353,0,"0"
"EPB41L2",0,1.99966826030952,0.73,0.367,0,"0"
"ST6GALNAC3",0,1.98317040430259,0.518,0.263,0,"0"
"LY86",0,1.98138161653201,0.491,0.091,0,"0"
"SSH2",0,1.97582255962734,0.753,0.337,0,"0"
"RHBDF2",0,1.97055807531197,0.559,0.133,0,"0"
"DSCAM",0,1.946618462139,0.519,0.152,0,"0"
"SYK",0,1.93198082686021,0.572,0.129,0,"0"
"XACT",0,1.92721029534286,0.205,0.026,0,"0"
"ADAM28",0,1.91954064260664,0.646,0.156,0,"0"
"CYFIP1",0,1.91888798677602,0.581,0.202,0,"0"
"ARHGAP15",0,1.91255391838683,0.649,0.166,0,"0"
"SFMBT2",0,1.90020956018393,0.728,0.453,0,"0"
"LPCAT2",0,1.89755899557416,0.532,0.124,0,"0"
"DOCK2",0,1.89202192455045,0.61,0.155,0,"0"
"LRRK1",0,1.88793442890509,0.474,0.098,0,"0"
"MAML3",0,1.88781387811917,0.638,0.258,0,"0"
"SH3RF3",0,1.88564011507592,0.584,0.256,0,"0"
"CX3CR1",0,1.84390622991351,0.296,0.031,0,"0"
"ARHGAP25",0,1.83852805281641,0.425,0.083,0,"0"
"BLNK",0,1.83462373110525,0.416,0.07,0,"0"
"CHST11",0,1.82432095465458,0.739,0.387,0,"0"
"GLDN",0,1.82288687290224,0.389,0.077,0,"0"
"LINC02232",0,1.80814803450714,0.387,0.071,0,"0"
"FLI1",0,1.80529587211996,0.533,0.129,0,"0"
"MARCH1",0,1.79681619054154,0.589,0.203,0,"0"
"FAM49B",0,1.79584302458268,0.681,0.251,0,"0"
"ALOX5",0,1.79476442444606,0.444,0.094,0,"0"
"KCNIP1",0,1.79382035146095,0.326,0.106,0,"0"
"DISC1",0,1.79344648536145,0.598,0.158,0,"0"
"TGFBR1",0,1.78390587052783,0.497,0.159,0,"0"
"MGAT4A",0,1.77843141029675,0.571,0.194,0,"0"
"IKZF1",0,1.76590823828768,0.518,0.125,0,"0"
"DOCK10",0,1.75745185772907,0.623,0.196,0,"0"
"SRGAP2C",0,1.75010643545329,0.486,0.149,0,"0"
"DIAPH2",0,1.73978846187052,0.57,0.227,0,"0"
"AC008691.1",0,1.73941202623302,0.176,0.015,0,"0"
"MYO1F",0,1.72918963316828,0.484,0.121,0,"0"
"LPAR6",0,1.72777823264519,0.436,0.108,0,"0"
"A2M",0,1.72771906890761,0.402,0.107,0,"0"
"CSF2RA",0,1.72500653831159,0.392,0.077,0,"0"
"FGD2",0,1.72129172224457,0.433,0.083,0,"0"
"ANKRD44",0,1.71698889788569,0.681,0.373,0,"0"
"DLEU7-AS1",0,1.69995738752779,0.34,0.058,0,"0"
"OXR1",0,1.68863897835609,0.516,0.278,0,"0"
"FMN1",0,1.68354081253365,0.536,0.137,0,"0"
"SLC2A5",0,1.67704415089553,0.431,0.112,0,"0"
"DENND3",0,1.67285914137807,0.531,0.148,0,"0"
"FKBP5",0,1.66933426185544,0.683,0.366,0,"0"
"FRMD4B",0,1.66918818388199,0.453,0.132,0,"0"
"POU2F2",0,1.65948330684452,0.39,0.085,0,"0"
"JAZF1",0,1.65497771680418,0.544,0.264,0,"0"
"ABCC4",0,1.65352526842297,0.477,0.189,0,"0"
"BACH1",0,1.64614943490327,0.472,0.181,0,"0"
"SKAP2",0,1.64476093877866,0.506,0.148,0,"0"
"RCSD1",0,1.64406913885581,0.427,0.092,0,"0"
"IGSF21",0,1.6410131521111,0.34,0.063,0,"0"
"CACNA1A",0,1.6366506122639,0.363,0.115,0,"0"
"WDFY4",0,1.63620361800903,0.426,0.093,0,"0"
"CSF3R",0,1.63407233715972,0.403,0.086,0,"0"
"SHTN1",0,1.63058702654205,0.51,0.187,0,"0"
"SP100",0,1.62169924086235,0.487,0.141,0,"0"
"CPED1",0,1.6059744437876,0.414,0.105,0,"0"
"SORL1",0,1.58766030918946,0.734,0.452,0,"0"
"RBM47",0,1.58126126383462,0.54,0.153,0,"0"
"NCK2",0,1.57480849059591,0.499,0.21,0,"0"
"MCF2L",0,1.56321933516702,0.413,0.117,0,"0"
"SH3KBP1",0,1.55303985446626,0.519,0.163,0,"0"
"MIR646HG",0,1.54641645600612,0.333,0.105,0,"0"
"FOXN3",0,1.54532890035288,0.707,0.5,0,"0"
"SPP1",0,1.53282612423743,0.709,0.24,0,"0"
"LDLRAD4",0,1.53206520433513,0.736,0.487,0,"0"
"PELI1",0,1.51297181526145,0.445,0.134,0,"0"
"FMNL3",0,1.51011219272675,0.411,0.129,0,"0"
"PTPRJ",0,1.50055183991651,0.562,0.265,0,"0"
"SPTLC2",0,1.49834788973466,0.418,0.15,0,"0"
"DOCK4",0,1.49761341211544,0.822,0.632,0,"0"
"FAR2",0,1.49310719281275,0.298,0.075,0,"0"
"IFI16",0,1.4860503569406,0.534,0.212,0,"0"
"CTTNBP2",0,1.48516762491148,0.402,0.131,0,"0"
"ETV6",0,1.48299774573482,0.65,0.386,0,"0"
"RUNX2",0,1.48109541640878,0.419,0.124,0,"0"
"PICALM",0,1.47978188120107,0.66,0.415,0,"0"
"PIK3AP1",0,1.47970616068675,0.382,0.095,0,"0"
"FCHSD2",0,1.47919470401652,0.61,0.345,0,"0"
"IRAK3",0,1.47787417397908,0.407,0.109,0,"0"
"SCIN",0,1.47436103976573,0.388,0.111,0,"0"
"PTPRC",0,1.4734288716298,0.621,0.193,0,"0"
"PIK3R5",0,1.472907702982,0.412,0.108,0,"0"
"RIN3",0,1.47217448411359,0.479,0.166,0,"0"
"TLR2",0,1.46915205719824,0.483,0.143,0,"0"
"NAIP",0,1.45980025007914,0.521,0.257,0,"0"
"BHLHE41",0,1.45094281139749,0.434,0.185,0,"0"
"IL17RA",0,1.44979617698609,0.383,0.113,0,"0"
"AP003481.1",0,1.44901223841057,0.191,0.013,0,"0"
"MTHFD1L",0,1.44875920711891,0.512,0.262,0,"0"
"HCK",0,1.44713884035061,0.376,0.087,0,"0"
"KCNQ1",0,1.44409884097054,0.336,0.077,0,"0"
"ZEB2",0,1.44214863163389,0.641,0.369,0,"0"
"IL18",0,1.43804937259551,0.361,0.087,0,"0"
"CIITA",0,1.43568993430346,0.354,0.094,0,"0"
"UBE2E2",0,1.43335064971615,0.646,0.388,0,"0"
"GAB2",0,1.42483278164532,0.599,0.325,0,"0"
"ZNF710",0,1.42401589699005,0.43,0.183,0,"0"
"BMP2K",0,1.42280062410223,0.663,0.414,0,"0"
"TMEM156",0,1.41330576254293,0.282,0.049,0,"0"
"SUSD6",0,1.40635387163296,0.45,0.17,0,"0"
"PTPRE",0,1.40589872239395,0.521,0.245,0,"0"
"HCLS1",0,1.40478657309217,0.417,0.115,0,"0"
"SLC11A1",0,1.40157057296041,0.47,0.132,0,"0"
"TRPM2",0,1.40062267533864,0.362,0.082,0,"0"
"TGFBR2",0,1.39645175278138,0.437,0.139,0,"0"
"LRCH1",0,1.39449020409525,0.494,0.197,0,"0"
"MIS18BP1",0,1.39336415711585,0.366,0.123,0,"0"
"LYN",0,1.3831405772626,0.5,0.185,0,"0"
"RGS1",0,1.38171854978182,0.318,0.093,0,"0"
"SMAP2",0,1.38133006106874,0.501,0.18,0,"0"
"PAG1",0,1.37624220415978,0.539,0.249,0,"0"
"ATM",0,1.37275623232621,0.549,0.296,0,"0"
"CTSB",0,1.36842697992082,0.559,0.235,0,"0"
"FAM149A",0,1.36815968951916,0.428,0.136,0,"0"
"SLC4A7",0,1.36271022225226,0.407,0.142,0,"0"
"SLC9A9",0,1.35762501793352,0.649,0.426,0,"0"
"IFNGR1",0,1.35543634334475,0.431,0.167,0,"0"
"NCKAP1L",0,1.34834160578875,0.349,0.088,0,"0"
"KCNK13",0,1.34368409670475,0.283,0.061,0,"0"
"CTSC",0,1.34204153454266,0.322,0.091,0,"0"
"MS4A6A",0,1.33949383502281,0.398,0.113,0,"0"
"ITPR2",0,1.33410233930847,0.753,0.573,0,"0"
"C1QB",0,1.33238755257769,0.425,0.123,0,"0"
"IL13RA1",0,1.32711455178767,0.328,0.098,0,"0"
"CD86",0,1.31658061558348,0.348,0.086,0,"0"
"GNB4",0,1.31335300566616,0.406,0.158,0,"0"
