"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"SYNDIG1",0,2.77759787812795,0.603,0.128,0,"0"
"FRMD4A",0,2.73614762290457,0.822,0.327,0,"0"
"TBXAS1",0,2.43265358946427,0.714,0.159,0,"0"
"ARHGAP22",0,2.41429558534189,0.597,0.121,0,"0"
"PLXDC2",0,2.39866758207115,0.884,0.48,0,"0"
"HS3ST4",0,2.34966243341288,0.656,0.158,0,"0"
"DOCK8",0,2.32812610388605,0.733,0.19,0,"0"
"SRGAP2",0,2.32225943045334,0.715,0.221,0,"0"
"SLCO2B1",0,2.26948146649264,0.665,0.131,0,"0"
"MEF2C",0,2.26326590712164,0.784,0.306,0,"0"
"SLC1A2",0,2.59904307167275,0.994,0.428,0,"1"
"NRXN1",0,2.51234389676855,0.778,0.262,0,"1"
"HPSE2",0,2.19297328397738,0.47,0.133,0,"1"
"ZNF98",0,2.13307106141602,0.432,0.121,0,"1"
"GPC5",0,2.12410538636693,0.565,0.244,0,"1"
"WIF1",0,2.07058816689955,0.41,0.047,0,"1"
"SLC4A4",0,2.04550622893269,0.654,0.212,0,"1"
"GRM3",0,1.97213583274261,0.496,0.092,0,"1"
"CABLES1",0,1.87110864312084,0.518,0.13,0,"1"
"LINC00499",0,1.8069037137516,0.487,0.107,0,"1"
"LINC01088",0,2.0470282908043,0.693,0.185,0,"2"
"DCLK1",0,1.994047313132,0.778,0.182,0,"2"
"DPP10",0,1.96587614684792,0.886,0.356,0,"2"
"AC073941.1",0,1.81526741599076,0.625,0.119,0,"2"
"LINC00609",0,1.76066738625572,0.714,0.212,0,"2"
"CP",0,1.71532072052392,0.523,0.09,0,"2"
"GFAP",0,1.68614991747791,0.925,0.456,0,"2"
"VCAN",0,1.66523526156912,0.732,0.165,0,"2"
"ID3",0,1.65759088121205,0.432,0.075,0,"2"
"SLC14A1",0,1.63778561147248,0.805,0.308,0,"2"
"PTGDS",0,2.05020545805434,0.629,0.167,0,"3"
"SNHG14",2.43303538444737e-303,1.8184888727639,0.425,0.118,1.0535529821734e-298,"3"
"GJA1",1.18032188398472e-134,1.56155973124212,0.563,0.37,5.11102982203064e-130,"3"
"CCDC144A",2.55467494792206e-128,1.53432200785625,0.186,0.049,1.10622534594921e-123,"3"
"FGFR3",7.10386253060854e-127,1.63823160287333,0.445,0.243,3.07611455300411e-122,"3"
"POLR2J3",1.13335475711065e-125,1.40613950228618,0.199,0.056,4.90765276924055e-121,"3"
"SEPTIN7",2.84112403172691e-119,1.42891585441477,0.229,0.075,1.23026352821839e-114,"3"
"EMX2",6.15353945755753e-67,1.57040875754233,0.258,0.13,2.66460565591156e-62,"3"
"RAPGEF3",1.23858169672877e-56,1.52694931181783,0.246,0.131,5.36330646317491e-52,"3"
"NDRG2",1.82110440802164e-56,1.41415504700721,0.451,0.35,7.8857463076153e-52,"3"
"LYZ",0,4.0238956940626,0.178,0.008,0,"4"
"HLA-DRA",0,3.42145349409451,0.745,0.144,0,"4"
"CD74",0,3.28025616105432,0.897,0.224,0,"4"
"SRGN",0,2.83194819855259,0.761,0.157,0,"4"
"RPS2",0,2.68514146460673,0.607,0.172,0,"4"
"HLA-DPB1",0,2.6475942268841,0.472,0.086,0,"4"
"FTL",0,2.62047684292468,0.963,0.596,0,"4"
"TMSB4X",0,2.53224730856997,0.885,0.37,0,"4"
"PFN1",2.76254705707843e-253,2.99126572500629,0.346,0.083,1.1962381266561e-248,"4"
"ACTB",3.02419471529658e-204,2.6333760338695,0.761,0.435,1.30953679561772e-199,"4"
"PLOD2",0,3.92500316397406,0.706,0.193,0,"5"
"TPST1",0,3.11265561441638,0.756,0.209,0,"5"
"CNN3",0,2.81749634875202,0.744,0.227,0,"5"
"SPOCK1",0,2.81588356943489,0.66,0.176,0,"5"
"NAMPT",0,2.74650007076742,0.69,0.17,0,"5"
"ZFYVE28",0,2.70159147574217,0.672,0.149,0,"5"
"HILPDA",0,2.64401572150203,0.548,0.095,0,"5"
"SAMD4A",0,2.58835693676167,0.772,0.345,0,"5"
"ABCA1",5.30723825408492e-293,2.57584751083504,0.644,0.29,2.29814030878385e-288,"5"
"LINC00511",4.22566612467618e-286,2.57579565840544,0.573,0.21,1.82979794530728e-281,"5"
"MT2A",0,2.52909255062072,0.895,0.333,0,"6"
"MT3",0,2.36249415058831,0.89,0.29,0,"6"
"CHI3L1",0,2.35712651265014,0.608,0.107,0,"6"
"MT1X",0,2.06954973964047,0.641,0.138,0,"6"
"CLU",0,1.70255099970079,0.978,0.563,0,"6"
"FTH1",3.35315338976211e-303,1.66502361519949,0.907,0.585,1.45198248083479e-298,"6"
"MT1E",2.94159934289103e-302,1.67148481342747,0.539,0.152,1.27377134745867e-297,"6"
"MT1G",3.42938707016977e-296,1.65702374910093,0.365,0.073,1.48499318912492e-291,"6"
"FXYD1",2.91322618855342e-224,1.57800944090314,0.363,0.093,1.2614852041674e-219,"6"
"GPC5",6.88001215989908e-99,1.62241707053845,0.479,0.276,2.9791828654795e-94,"6"
"P4HA1",0,3.58416770134552,0.904,0.348,0,"7"
"CD83",0,3.4718769136148,0.704,0.061,0,"7"
"ACSL1",0,3.22342956604516,0.921,0.186,0,"7"
"HSPD1",0,3.12250559582751,0.739,0.257,0,"7"
"HSPH1",0,3.08413378029869,0.826,0.323,0,"7"
"ELL2",0,3.07409158057135,0.913,0.307,0,"7"
"HSP90AA1",0,2.96576933403503,0.935,0.626,0,"7"
"SAMSN1",0,2.95881088077224,0.84,0.15,0,"7"
"SLC16A10",0,2.88745306259914,0.345,0.024,0,"7"
"ATP13A3",0,2.88556815634052,0.743,0.201,0,"7"
"MIR4300HG",0,3.23249718660419,0.86,0.19,0,"8"
"SH3BGR",0,2.86081625148079,0.769,0.072,0,"8"
"RASGEF1B",0,2.72326031011443,0.923,0.326,0,"8"
"GALNT13",0,2.61761576244861,0.731,0.085,0,"8"
"MMP16",0,2.58869996077397,0.644,0.059,0,"8"
"TTN",0,2.26009962490027,0.719,0.13,0,"8"
"ADAMTSL3",0,2.25696665976314,0.794,0.132,0,"8"
"MAP2",0,2.227043715452,0.84,0.206,0,"8"
"DCLK1",0,2.21541881993718,0.937,0.215,0,"8"
"HMGB1",0,2.12449562157878,0.92,0.451,0,"8"
"CFAP299",0,5.6330933218689,0.97,0.03,0,"9"
"DNAH9",0,4.65400189759955,0.971,0.07,0,"9"
"DNAH11",0,4.28245949898686,0.946,0.05,0,"9"
"SPAG17",0,4.13149057806793,0.967,0.025,0,"9"
"DCDC1",0,4.05265510647771,0.947,0.063,0,"9"
"CFAP54",0,4.01960898730987,0.985,0.178,0,"9"
"AGBL1",0,3.9055143684809,0.835,0.031,0,"9"
"CFAP43",0,3.89876350396143,0.964,0.083,0,"9"
"DNAH6",0,3.83150966924344,0.928,0.064,0,"9"
"TMEM232",0,3.80164470375474,0.972,0.233,0,"9"
"SYT1",0,2.90454212471394,0.581,0.118,0,"10"
"MEG3",0,2.53547748541603,0.357,0.038,0,"10"
"SLC17A7",0,2.10507594812194,0.276,0.019,0,"10"
"VAMP2",8.82468034167808e-297,2.09433349993813,0.321,0.039,3.82126308155344e-292,"10"
"NRGN",1.01387586300147e-254,2.23608190245456,0.368,0.063,4.39028526196895e-250,"10"
"SNAP25",3.74605052320389e-236,2.44326734688621,0.487,0.124,1.62211479755775e-231,"10"
"APLP1",3.9402107125355e-213,2.13143419057835,0.366,0.073,1.70619004274212e-208,"10"
"CHN1",2.77417268914396e-115,2.16069842257763,0.526,0.249,1.20127225785312e-110,"10"
"PLP1",5.54961558781973e-100,2.17926322916372,0.483,0.233,2.4030945418377e-95,"10"
"IL1RAPL1",5.01710456256756e-45,2.1595454140295,0.236,0.099,2.17250661768301e-40,"10"
"DPP10",0,2.41595301340084,0.962,0.401,0,"11"
"LINC01088",1.09894664389659e-273,2.30586973472154,0.748,0.229,4.75865875740101e-269,"11"
"LINC00609",1.30572191527288e-255,2.13806680016515,0.762,0.255,5.65403703751462e-251,"11"
"AC073941.1",5.66018432839714e-253,2.3885164781017,0.606,0.165,2.45097301788253e-248,"11"
"CDH20",3.4183750981404e-246,2.10392188559081,0.856,0.369,1.48022478499676e-241,"11"
"DCLK1",1.00026418418345e-188,1.88243654723043,0.673,0.238,4.33134397035118e-184,"11"
"SNED1",4.67501722379301e-152,1.89273276314661,0.602,0.239,2.02437595824685e-147,"11"
"C8orf34",2.649444489825e-150,1.89829221461981,0.537,0.177,1.14726245298402e-145,"11"
"TTN",4.35744703714713e-141,2.13473581356705,0.463,0.15,1.88686171602545e-136,"11"
"STXBP5L",5.98624863311792e-139,2.015463422328,0.467,0.155,2.59216538311272e-134,"11"
"RPS18",0,4.17243217358995,0.619,0.115,0,"12"
"RPL32",0,4.04197043911223,0.911,0.202,0,"12"
"RPLP2",0,3.95664280917246,0.685,0.162,0,"12"
"RPL19",0,3.94274076540771,0.951,0.194,0,"12"
"RPS27",0,3.90737101442268,0.644,0.164,0,"12"
"RPS14",0,3.88279552196512,0.688,0.156,0,"12"
"RPS27A",0,3.86875782937385,0.861,0.178,0,"12"
"RPL11",0,3.78508909759019,0.76,0.185,0,"12"
"RPL34",0,3.73207040543687,0.617,0.137,0,"12"
"RPS12",3.18095037857527e-275,3.93069864670098,0.548,0.126,1.37741513293066e-270,"12"
"THEMIS",0,4.20117231673252,0.638,0.005,0,"13"
"SKAP1",0,4.1951856599913,0.71,0.007,0,"13"
"CAMK4",0,4.07437575904312,0.635,0.055,0,"13"
"PARP8",0,3.80052392057705,0.741,0.217,0,"13"
"IL7R",0,3.38321676171011,0.421,0.002,0,"13"
"BCL11B",0,3.29671181404539,0.559,0.005,0,"13"
"STAT4",0,3.26931316443876,0.54,0.012,0,"13"
"CD96",0,3.20856602285458,0.502,0.008,0,"13"
"CCL5",0,3.1487821761703,0.404,0.003,0,"13"
"CBLB",2.2895090053765e-292,3.40283708185601,0.696,0.188,9.91403189508134e-288,"13"
"CACNA2D3",0,2.69240021638156,0.802,0.153,0,"14"
"SLC24A4",0,2.24593975522075,0.724,0.088,0,"14"
"TNC",5.43681452717012e-308,2.08122028310838,0.784,0.133,2.35424942655521e-303,"14"
"AC073941.1",7.98717288076021e-288,2.04382014689821,0.842,0.166,3.45860560082678e-283,"14"
"TRPM3",4.91513071318067e-264,2.23449828294876,0.967,0.284,2.12834990142149e-259,"14"
