"","x"
"0","Astrocyte"
"1","Astrocyte"
"2","Microglia"
"3","Astrocyte"
"4","Astrocyte"
"5","Microglia"
"6","Astrocyte"
"7","Microglia"
"8","Dendritic cells"
"9","Microglia"
"10","Astrocyte"
"11","Astrocyte"
"12","Microglia"
"13","Astrocyte"
"14","T cells"
"15","Astrocyte"
"16","Astrocyte"
"17","Astrocyte"
"18","Astrocyte"
"19","Macrophage"
"20","Filtered"
"21","Astrocyte"
"22","Microglia"
"23","Astrocyte"
"24","Macrophage"
"25","Astrocyte"
"26","Astrocyte"
"27","B cells"
"28","Filtered"
"29","Filtered"
"30","Filtered"
"31","Filtered"
