id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	.|.	.|Dendritic cells	.|Homeostatic microglia	.|Inflamed microglia	.|Nonreactive astrocyte	.|Reactive astrocyte	.|T cells	Dendritic cells|.	Dendritic cells|Dendritic cells	Dendritic cells|Homeostatic microglia	Dendritic cells|Inflamed microglia	Dendritic cells|Nonreactive astrocyte	Dendritic cells|Reactive astrocyte	Dendritic cells|T cells	Homeostatic microglia|.	Homeostatic microglia|Dendritic cells	Homeostatic microglia|Homeostatic microglia	Homeostatic microglia|Inflamed microglia	Homeostatic microglia|Nonreactive astrocyte	Homeostatic microglia|Reactive astrocyte	Homeostatic microglia|T cells	Inflamed microglia|.	Inflamed microglia|Dendritic cells	Inflamed microglia|Homeostatic microglia	Inflamed microglia|Inflamed microglia	Inflamed microglia|Nonreactive astrocyte	Inflamed microglia|Reactive astrocyte	Inflamed microglia|T cells	Nonreactive astrocyte|.	Nonreactive astrocyte|Dendritic cells	Nonreactive astrocyte|Homeostatic microglia	Nonreactive astrocyte|Inflamed microglia	Nonreactive astrocyte|Nonreactive astrocyte	Nonreactive astrocyte|Reactive astrocyte	Nonreactive astrocyte|T cells	Reactive astrocyte|.	Reactive astrocyte|Dendritic cells	Reactive astrocyte|Homeostatic microglia	Reactive astrocyte|Inflamed microglia	Reactive astrocyte|Nonreactive astrocyte	Reactive astrocyte|Reactive astrocyte	Reactive astrocyte|T cells	T cells|.	T cells|Dendritic cells	T cells|Homeostatic microglia	T cells|Inflamed microglia	T cells|Nonreactive astrocyte	T cells|Reactive astrocyte	T cells|T cells
CPI-CS0A5B6BD7A	12oxoLeukotrieneB4_byPTGR1_LTB4R	complex:12oxoLeukotrieneB4_byPTGR1	simple:Q15722		LTB4R	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042	0.039	0.038	0.0	0.0	0.0	0.0	0.034	0.032	0.031	0.0	0.0	0.0	0.0	0.028	0.026	0.024	0.0	0.0	0.0	0.0	0.017	0.015	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS047D9C0D7	LeukotrieneB4_byLTA4H_LTB4R	complex:LeukotrieneB4_byLTA4H	simple:Q15722		LTB4R	True	False	True	curated	False	0.0	0.0	0.117	0.115	0.114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.078	0.076	0.074	0.0	0.0	0.0	0.0	0.06	0.058	0.056	0.0	0.0	0.0	0.0	0.03	0.028	0.026	0.0	0.0	0.0	0.0	0.036	0.034	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS08D535BCF	22Hydroxycholesterol_byCYP11A1_NR1H4	complex:22Hydroxycholesterol_byCYP11A1	simple:Q96RI1		NR1H4	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS01C347639	22Hydroxycholesterol_byCYP3A4_NR1H4	complex:22Hydroxycholesterol_byCYP3A4	simple:Q96RI1		NR1H4	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS019C00E02	Androsterone_byHSD17B6_NR1H4	complex:Androsterone_byHSD17B6	simple:Q96RI1		NR1H4	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS03629A52A	2arachidonoylglycerol_byDAGLA_CNR1	complex:2arachidonoylglycerol_byDAGLA	simple:P21554		CNR1	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.014	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.027	0.036	0.0	0.0	0.0	0.012	0.0	0.015	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS007D418BE	2arachidonoylglycerol_byDAGLB_CNR1	complex:2arachidonoylglycerol_byDAGLB	simple:P21554		CNR1	True	False	True	curated	False	0.0	0.0	0.476	0.0	0.479	0.489	0.0	0.0	0.0	0.796	0.0	0.799	0.808	0.0	0.0	0.0	0.174	0.0	0.177	0.186	0.0	0.0	0.0	0.066	0.0	0.069	0.078	0.0	0.0	0.0	0.013	0.0	0.016	0.025	0.0	0.0	0.0	0.011	0.0	0.014	0.023	0.0	0.0	0.0	0.059	0.0	0.062	0.072	0.0
CPI-CS0C6F86DF5	2arachidonoylglycerol_byDAGLA_CNR2	complex:2arachidonoylglycerol_byDAGLA	simple:P34972		CNR2	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.022	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS030959ED1	2arachidonoylglycerol_byDAGLB_CNR2	complex:2arachidonoylglycerol_byDAGLB	simple:P34972		CNR2	True	False	True	curated	False	0.0	0.0	0.475	0.0	0.475	0.0	0.0	0.0	0.0	0.794	0.0	0.794	0.0	0.0	0.0	0.0	0.172	0.0	0.172	0.0	0.0	0.0	0.0	0.064	0.0	0.064	0.0	0.0	0.0	0.0	0.011	0.0	0.011	0.0	0.0	0.0	0.0	0.009	0.0	0.009	0.0	0.0	0.0	0.0	0.058	0.0	0.058	0.0	0.0
CPI-CS045C37E64	2arachidonoylglycerol_byDAGLA_GPR55	complex:2arachidonoylglycerol_byDAGLA	simple:Q9Y2T6		GPR55	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS01F7D06F1	2arachidonoylglycerol_byDAGLB_GPR55	complex:2arachidonoylglycerol_byDAGLB	simple:Q9Y2T6		GPR55	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.473	0.0	0.0	0.0	0.0	0.0	0.0	0.793	0.0	0.0	0.0	0.0	0.0	0.0	0.171	0.0	0.0	0.0	0.0	0.0	0.0	0.063	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.056	0.0	0.0
CPI-CS072C12EF4	5alphaDihydroprogesterone_byDHRS9_PGR	complex:5alphaDihydroprogesterone_byDHRS9	simple:P06401		PGR	True	False	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.074	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS016CDFE07	5SHpETE_byALOX5_OXER1	complex:5SHpETE_byALOX5	simple:Q8TDS5		OXER1	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.052	0.054	0.045	0.0	0.0	0.0	0.0	0.066	0.067	0.058	0.0	0.0	0.0	0.0	0.01	0.012	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F66EA6BE	APP_FPR2	simple:P05067	simple:P25090	APP	FPR2	False	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.132	0.0	0.0	0.0	0.0	0.0	0.0	0.113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS030BB46BB	ANXA1_FPR2	simple:P04083	simple:P25090	ANXA1	FPR2	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS0C94B5884	LipoxinA4_byALOX12_FPR2	complex:LipoxinA4_byALOX12	simple:P25090		FPR2	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS0FC36F030	LipoxinA4_byALOX5_FPR2	complex:LipoxinA4_byALOX5	simple:P25090		FPR2	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS06190D4BE	TAFA5_FPR2	simple:Q7Z5A7	simple:P25090	TAFA5	FPR2	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS07ACDDCD6	APP_SORL1	simple:P05067	simple:Q92673	APP	SORL1	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.304	1.907	1.428	0.903	0.422	0.329	0.194	0.224	1.828	1.349	0.823	0.343	0.249	0.115	0.311	1.914	1.435	0.91	0.429	0.335	0.201	0.291	1.895	1.416	0.89	0.41	0.316	0.182	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS097A84265	APP_TNFRSF21	simple:P05067	simple:O75509	APP	TNFRSF21	False	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.146	0.134	0.13	0.14	0.0	0.0	0.0	0.066	0.054	0.051	0.061	0.0	0.0	0.0	0.153	0.14	0.137	0.147	0.0	0.0	0.0	0.133	0.121	0.118	0.128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS012E7C8B8	PI16_TNFRSF21	simple:Q6UXB8	simple:O75509	PI16	TNFRSF21	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041	0.029	0.025	0.035	0.0	0.0	0.0	0.052	0.04	0.037	0.046	0.0	0.0	0.0	0.111	0.099	0.096	0.105	0.0
CPI-SC0E89A4EF0	APP_TREM2_receptor	simple:P05067	complex:TREM2_receptor	APP		False	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333	0.357	0.0	0.0	0.0	0.0	0.0	0.253	0.278	0.0	0.0	0.0	0.0	0.0	0.34	0.364	0.0	0.0	0.0	0.0	0.0	0.32	0.345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0FE3CE9D1	APOA1_TREM2_receptor	simple:P02647	complex:TREM2_receptor	APOA1		True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
