"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ABI3BP",0,1.2433708944845,0.431,0.081,0
"ABLIM1",0,0.933649347741035,0.764,0.346,0
"ADAMTS9-AS2",0,1.24054530960568,0.585,0.181,0
"ADAMTSL3",0,1.37026822679272,0.551,0.114,0
"ADCY2",0,1.45993313814168,0.844,0.375,0
"ADCY8",0,1.31169190929161,0.586,0.174,0
"ADGRA3",0,0.871285176251588,0.575,0.22,0
"ADRA1A",0,0.973521478169186,0.444,0.138,0
"AHNAK",0,0.884366322429184,0.49,0.169,0
"AKAP6",0,0.867389873548664,0.628,0.24,0
"ANGPT1",0,1.50932178973722,0.496,0.088,0
"ANKFN1",0,0.928949491019384,0.557,0.187,0
"ANKRD28",0,0.892918685182585,0.492,0.184,0
"ANTXR1",0,0.896156738594702,0.506,0.181,0
"AQP1",0,1.65037278907477,0.449,0.101,0
"AQP4",0,1.1581778899599,0.845,0.396,0
"AQP4-AS1",0,1.22221156645236,0.633,0.231,0
"ARHGAP42",0,0.845532956657426,0.476,0.173,0
"ARHGEF4",0,1.32815422017945,0.762,0.273,0
"ARRDC4",0,0.840793772980285,0.256,0.052,0
"ATP9A",0,0.859099908293034,0.45,0.15,0
"B3GAT2",0,1.23125181436766,0.481,0.113,0
"BCKDHB",0,1.1825416673002,0.665,0.286,0
"C8orf34",0,1.55995501379976,0.56,0.14,0
"CD38",0,0.932678924497554,0.371,0.089,0
"CD44",0,1.50550990569397,0.749,0.229,0
"CDH20",0,1.19312587429766,0.789,0.331,0
"CFAP47",0,0.640110279210383,0.457,0.136,0
"CFAP54",0,0.654219245091855,0.538,0.164,0
"CHST9",0,0.884520517308845,0.345,0.09,0
"CNKSR2",0,0.903227530759176,0.457,0.145,0
"CNTN1",0,1.34860153235159,0.79,0.33,0
"COL21A1",0,1.47552440701383,0.559,0.112,0
"CP",0,1.70510879555946,0.524,0.091,0
"CRYAB",0,0.93294822341171,0.707,0.312,0
"CTNNA2",0,0.756972728660078,0.797,0.37,0
"CTNND2",0,1.30454691660144,0.877,0.407,0
"DAAM2",0,1.36021862604996,0.619,0.19,0
"DCLK1",0,1.97671831610357,0.779,0.183,0
"DCLK2",0,1.27886283534716,0.732,0.29,0
"DGKB",0,1.25063291487478,0.44,0.093,0
"DPP10",0,1.93526962926964,0.888,0.357,0
"DPP6",0,0.949295104279724,0.538,0.194,0
"DPYSL3",0,0.895583792888082,0.54,0.17,0
"DTNA",0,0.824860930374569,0.928,0.639,0
"ELN",0,0.880312396431078,0.263,0.048,0
"FAM182B",0,0.930600762183164,0.559,0.216,0
"FAM189A2",0,0.864243632122636,0.677,0.25,0
"FMN2",0,1.00392428746015,0.79,0.354,0
"FRMPD2",0,0.848134674264363,0.43,0.118,0
"FRY",0,0.767004634205751,0.4,0.116,0
"GALNT15",0,1.51073733353715,0.545,0.095,0
"GFAP",0,1.67691489409009,0.925,0.456,0
"GLIS3",0,1.19014934419332,0.818,0.409,0
"GMPR",0,1.07955145225161,0.41,0.107,0
"GPM6B",0,1.21304323797896,0.829,0.444,0
"GPR75-ASB3",0,1.06309303401663,0.614,0.243,0
"HSPB8",0,1.11044782696145,0.471,0.146,0
"HYDIN",0,0.485917273110901,0.527,0.191,0
"ID3",0,1.67405256769869,0.437,0.075,0
"IGFBP5",0,1.01210320866581,0.289,0.064,0
"ITGB4",0,1.17068239244059,0.579,0.176,0
"ITPKB",0,1.10253721754562,0.72,0.345,0
"KANK1",0,0.92471277845236,0.662,0.275,0
"KAZN",0,0.866033790711682,0.643,0.216,0
"KCND2",0,1.0584478050784,0.346,0.087,0
"KCNJ3",0,0.872582654221016,0.424,0.116,0
"LAMA2",0,1.05791180722619,0.296,0.062,0
"LAMA4",0,0.818804950415226,0.298,0.063,0
"LIFR",0,0.938303991287351,0.729,0.32,0
"LINC00609",0,1.76620168940653,0.715,0.213,0
"LINC00836",0,1.24979580542044,0.399,0.054,0
"LINC01088",0,2.0005992077393,0.692,0.186,0
"LMCD1-AS1",0,1.07102562961494,0.619,0.247,0
"LMNTD1",0,1.08166266550652,0.463,0.115,0
"LRAT",0,0.880855132524329,0.291,0.062,0
"LTBP1",0,0.882090341898044,0.513,0.174,0
"MAGI2",0,0.929427265458801,0.812,0.416,0
"MAOB",0,1.18616906409913,0.485,0.177,0
