"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AL390957.1",3.72937684584341e-300,0.254431952097296,0.051,0.882,7.45875369168682e-297
"CFAP97D2",1.50566643578944e-290,0.275958766028167,0.068,0.893,3.01133287157889e-287
"CFAP61",1.01802351157552e-272,0.265497841401821,0.087,0.899,2.03604702315105e-269
"AC027288.3",1.06362314568096e-269,0.472752266315938,0.07,0.892,2.12724629136192e-266
"DPP10",8.77475700263582e-260,1.98809832349765,0.967,0.98,1.75495140052716e-256
"AC112206.2",2.38684582960999e-258,0.383378431058909,0.067,0.868,4.77369165921997e-255
"U91319.1",8.41112400197802e-258,0.290834742073527,0.064,0.863,1.6822248003956e-254
"AC009975.1",2.52996069147564e-257,0.496416918221697,0.078,0.877,5.05992138295128e-254
"FRMD6-AS2",2.60713981464697e-256,0.405137439659167,0.07,0.871,5.21427962929394e-253
"VWA3B",8.16160526357687e-255,0.258290850475972,0.097,0.903,1.63232105271537e-251
"CCDC170",2.04266491124503e-254,0.409213626456554,0.099,0.902,4.08532982249007e-251
"LINC01505",8.9502090962923e-252,0.268544998758747,0.068,0.87,1.79004181925846e-248
"AC090568.2",8.08067690163676e-251,0.498648647412227,0.093,0.892,1.61613538032735e-247
"ZBBX",1.36211808941407e-250,0.285145117858895,0.085,0.879,2.72423617882815e-247
"ABCC3",2.90682284699456e-250,0.295065607186523,0.056,0.832,5.81364569398912e-247
"TMEM163",5.48309706509397e-249,0.255878045274915,0.07,0.872,1.0966194130188e-245
"RBMS1",2.07434404755466e-244,0.286779829598008,0.08,0.879,4.14868809510932e-241
"HBB",3.92581014243761e-244,0.274055281778176,0.068,0.862,7.85162028487522e-241
"EPHA5",6.0676791828189e-243,0.390705999861876,0.074,0.868,1.21353583656378e-239
"AC092131.1",2.28485249623233e-234,0.453568153604775,0.068,0.851,4.56970499246467e-231
"TEKT1",2.90147297890622e-231,0.423048106404975,0.097,0.875,5.80294595781244e-228
"ANXA1",1.89887661174624e-229,0.374551798593914,0.104,0.869,3.79775322349247e-226
"CLSTN2",3.00493188225801e-226,0.319044117156609,0.102,0.886,6.00986376451601e-223
"ADAMTS9",3.20272809608857e-226,0.395086564966197,0.11,0.902,6.40545619217713e-223
"ADAMTS12",1.79408059374583e-222,0.494586098362726,0.065,0.835,3.58816118749165e-219
"LINC01876",2.21998518841804e-222,0.331349610878465,0.05,0.822,4.43997037683609e-219
"AC073569.2",3.95356807472453e-221,0.390622283001805,0.084,0.862,7.90713614944906e-218
"DNAH12",4.19662206676628e-221,0.444658660322141,0.134,0.907,8.39324413353256e-218
"SH3BGR",8.60963792669272e-221,0.262635616275987,0.107,0.882,1.72192758533854e-217
"PARP8",2.03080686369353e-220,0.316425607350505,0.121,0.905,4.06161372738706e-217
"ARRDC4",9.26319249842395e-218,0.419288245278463,0.076,0.86,1.85263849968479e-214
"DNAH6",2.21162534447903e-216,0.282637154372449,0.123,0.891,4.42325068895805e-213
"AC233296.1",2.31509550092539e-216,0.554761002538499,0.077,0.855,4.63019100185077e-213
"CALCRL",1.82870147635277e-213,0.412115532104254,0.059,0.833,3.65740295270554e-210
"CHODL",1.16601493377658e-212,0.403403294563645,0.064,0.84,2.33202986755316e-209
"EMP1",2.15667002684972e-211,0.362518264005629,0.137,0.9,4.31334005369944e-208
"LINC00536",3.13015888167169e-210,0.282897586281838,0.038,0.789,6.26031776334337e-207
"MMP16",4.60822411265821e-208,0.315202401995627,0.127,0.899,9.21644822531641e-205
"CYP4F12",7.9427367576748e-207,0.621267464938143,0.106,0.869,1.58854735153496e-203
"CLVS1",3.25501211090964e-206,0.640331041138499,0.112,0.875,6.51002422181928e-203
"COL8A1",1.86039710556167e-205,0.743444983575848,0.121,0.886,3.72079421112335e-202
"EPB41L3",2.36275412867352e-205,0.324765214323516,0.111,0.873,4.72550825734704e-202
"AC007563.2",1.45163062128167e-203,0.881726628477209,0.136,0.902,2.90326124256334e-200
"FRMPD4",5.32212871450157e-202,0.315250146720526,0.119,0.881,1.06442574290031e-198
"DSCAM",3.40509527291095e-200,0.297637926107069,0.094,0.863,6.81019054582191e-197
"CFAP43",2.49439218732687e-198,0.263329114174553,0.149,0.904,4.98878437465373e-195
"ZNF804A",4.67189460486521e-198,0.297443230471614,0.057,0.795,9.34378920973041e-195
"MRC2",6.50313684044568e-198,0.251503447306128,0.076,0.825,1.30062736808914e-194
"IGFBP5",4.84567518066331e-197,0.253635752964802,0.086,0.851,9.69135036132662e-194
"SORCS3",6.26360616873597e-197,0.288516430597106,0.072,0.823,1.25272123374719e-193
"ADAMTS3",1.36314509772681e-195,0.266720693437707,0.065,0.826,2.72629019545361e-192
"SH3PXD2A",7.37171066755931e-195,0.331827560145655,0.102,0.86,1.47434213351186e-191
"PVT1",4.66074876141614e-194,0.318378552746415,0.094,0.848,9.32149752283227e-191
"PPIL6",1.56608702695262e-191,0.343385173472495,0.114,0.863,3.13217405390523e-188
"AL603840.1",4.38686409911659e-191,0.945307074823351,0.133,0.891,8.77372819823318e-188
"AC124854.1",1.21916106367193e-189,0.312199967905095,0.064,0.808,2.43832212734387e-186
"KIF6",1.06398190913931e-188,0.420302946865331,0.114,0.863,2.12796381827862e-185
"AL133346.1",1.57701184548376e-188,0.610715972670303,0.102,0.855,3.15402369096753e-185
"ITGA2",2.69431721169056e-188,0.726829701477514,0.138,0.892,5.38863442338112e-185
"PCDH15",8.40553841793037e-188,0.60975168915239,0.07,0.819,1.68110768358607e-184
"CREB5",7.0019937915352e-187,0.386351906271106,0.106,0.854,1.40039875830704e-183
"TMCC3",2.01716585805024e-186,0.262063493496748,0.06,0.793,4.03433171610048e-183
"HCN1",5.92929202577043e-184,0.540002134351639,0.102,0.844,1.18585840515409e-180
"KCNT2",7.9565556959789e-184,0.736319329031261,0.129,0.88,1.59131113919578e-180
"C8orf37-AS1",8.27874988560459e-183,0.412075672306722,0.149,0.9,1.65574997712092e-179
"CFAP46",1.06039891519768e-181,0.495314830225409,0.14,0.887,2.12079783039537e-178
"PTCHD4",7.15608266896071e-181,0.759729655032017,0.098,0.825,1.43121653379214e-177
"MYO1E",1.26160377704579e-179,0.259738642839015,0.131,0.869,2.52320755409159e-176
"SYNE2",1.13004209914248e-178,0.440149660363191,0.157,0.901,2.26008419828496e-175
"AL445250.1",2.48879962497583e-178,0.411508911458256,0.042,0.781,4.97759924995167e-175
"GRIA1",8.71012802044994e-178,0.455531641333082,0.158,0.896,1.74202560408999e-174
"CNTN5",1.07822922261771e-177,0.76128308419753,0.134,0.885,2.15645844523542e-174
"LINC01725",3.76686832700333e-174,0.489686558489893,0.06,0.797,7.53373665400666e-171
"FBXO32",1.36268609316088e-173,0.470653498390542,0.123,0.856,2.72537218632177e-170
"SPATA6L",9.96816447224725e-173,0.367658773432706,0.164,0.899,1.99363289444945e-169
"SMOC1",1.45152153770418e-172,0.642461247355,0.155,0.895,2.90304307540837e-169
"HS6ST3",2.12341226148875e-172,0.731748582146872,0.125,0.862,4.24682452297749e-169
"RASL12",2.36965738042313e-172,0.421781679838377,0.085,0.825,4.73931476084626e-169
"SNTG1",3.76265929556905e-171,0.353077650372188,0.089,0.827,7.52531859113809e-168
"RGS22",3.99688978643441e-170,0.265111190801193,0.09,0.814,7.99377957286882e-167
"CYP4F3",1.15505382276175e-169,0.294511333955752,0.074,0.787,2.31010764552349e-166
"LINC00535",4.79065675735602e-167,0.318370085497339,0.039,0.779,9.58131351471203e-164
"COBLL1",9.26895637406429e-165,0.32769699251676,0.076,0.804,1.85379127481286e-161
"KIAA0825",1.69059374003326e-164,0.280295864811233,0.161,0.889,3.38118748006652e-161
"MALRD1",1.34292719067902e-163,0.330708221023534,0.117,0.838,2.68585438135804e-160
"CAP2",4.02990406152782e-162,0.391202251148115,0.136,0.857,8.05980812305564e-159
"SHISA9",5.58673553413055e-161,0.660128199270533,0.117,0.83,1.11734710682611e-157
"CAPS",1.38138470492973e-160,0.483247586792111,0.171,0.89,2.76276940985945e-157
"SLC44A5",2.08750477931068e-160,0.308345889707955,0.077,0.799,4.17500955862136e-157
"LINC01411",7.02414777268327e-160,0.301819749160074,0.084,0.8,1.40482955453665e-156
"FANK1",1.55049066021628e-158,0.409261730478219,0.128,0.845,3.10098132043256e-155
"SGK1",4.33854868349326e-156,0.603132252479622,0.144,0.862,8.67709736698652e-153
"AP002991.1",2.49657870117251e-155,0.284080212772731,0.08,0.79,4.99315740234502e-152
"COL24A1",9.59250211576829e-154,0.398630921106052,0.07,0.792,1.91850042315366e-150
"ULK4",1.26795331298628e-153,0.299702823438214,0.17,0.904,2.53590662597255e-150
"PPM1E",1.07611689757112e-152,0.356395535899928,0.11,0.824,2.15223379514224e-149
"NHS",1.11960504580443e-152,0.459886374764531,0.161,0.872,2.23921009160886e-149
"NTNG1",2.08557768191989e-151,0.718183651903907,0.17,0.88,4.17115536383978e-148
