"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DPP10",6.32958537692262e-192,1.37134064900144,0.967,0.978,1.26591707538452e-188
"CCDC170",4.4176873936249e-148,0.307895352382569,0.099,0.69,8.8353747872498e-145
"AC009975.1",3.95065036162965e-146,0.331698046619746,0.078,0.653,7.9013007232593e-143
"AC112206.2",4.79038647210303e-145,0.330067302463042,0.067,0.637,9.58077294420607e-142
"AC027288.3",1.28100448419128e-134,0.399913132179977,0.07,0.639,2.56200896838255e-131
"AC092131.1",1.30073072656814e-134,0.266749461966542,0.068,0.636,2.60146145313628e-131
"FRMD6-AS2",7.49313075795955e-134,0.25271514824531,0.07,0.635,1.49862615159191e-130
"AC090568.2",3.54765410293104e-133,0.413203483998089,0.093,0.657,7.09530820586208e-130
"TEKT1",1.65703270683952e-132,0.3603409199174,0.097,0.662,3.31406541367905e-129
"KCNT2",9.42529526723478e-129,0.260034034753825,0.129,0.723,1.88505905344696e-125
"ITGA2",1.20021505357257e-119,0.367040426874895,0.138,0.714,2.40043010714513e-116
"CHODL",6.8997398442294e-119,0.314474955715744,0.064,0.617,1.37994796884588e-115
"CYP4F12",1.02235185848523e-116,0.291989208070493,0.106,0.664,2.04470371697046e-113
"AC073569.2",2.88195103441873e-115,0.282858908868409,0.084,0.632,5.76390206883746e-112
"AC233296.1",2.99959439510148e-115,0.474740630842388,0.077,0.621,5.99918879020297e-112
"AL603840.1",1.19554951595637e-113,0.654705808681268,0.133,0.691,2.39109903191273e-110
"PCDH15",1.92369129571418e-113,0.417942207272962,0.07,0.622,3.84738259142836e-110
"PPP1R42",2.32134603160723e-113,0.256570453077584,0.103,0.646,4.64269206321445e-110
"HCN1",3.91923977486064e-113,0.386332035640553,0.102,0.649,7.83847954972128e-110
"AC007563.2",9.8557259966595e-113,0.682825371750997,0.136,0.691,1.9711451993319e-109
"CLVS1",1.64975086937812e-110,0.503456293815638,0.112,0.654,3.29950173875624e-107
"COL8A1",1.80644843555849e-110,0.588445118799382,0.121,0.666,3.61289687111698e-107
"AL133346.1",2.47442300056365e-109,0.404411960357563,0.102,0.651,4.94884600112731e-106
"DNAH12",3.67402961705541e-109,0.468280250965707,0.134,0.675,7.34805923411082e-106
"ADAMTS12",4.95494876483374e-109,0.374467803003482,0.065,0.599,9.90989752966748e-106
"FRMPD4",1.43433554598819e-108,0.306498824609306,0.119,0.665,2.86867109197637e-105
"HS6ST3",3.47483177347806e-107,0.38843987478949,0.125,0.684,6.94966354695612e-104
"SMOC1",5.19732693731275e-106,0.326267484233363,0.155,0.716,1.03946538746255e-102
"AL445250.1",8.34021030540084e-106,0.283384518473099,0.042,0.581,1.66804206108017e-102
"CNTN5",4.48172243545772e-104,0.522935047638947,0.134,0.69,8.96344487091544e-101
"KIF6",1.12424593077545e-102,0.387317718018417,0.114,0.651,2.2484918615509e-99
"CFAP46",2.87485142328092e-102,0.433400150005776,0.14,0.685,5.74970284656184e-99
"SHISA9",2.66997249719151e-99,0.392657577547318,0.117,0.644,5.33994499438303e-96
"GRIA1",5.04942679936175e-99,0.389071847459084,0.158,0.698,1.00988535987235e-95
"STK32A",3.62432706121941e-98,0.386356853658804,0.155,0.71,7.24865412243881e-95
"LINC00535",1.03572061159275e-96,0.274443349453141,0.039,0.574,2.07144122318549e-93
"MOXD1",2.07351111409135e-96,0.257959704496224,0.138,0.677,4.14702222818271e-93
"ASXL3",2.75680835346572e-96,0.361157834453985,0.106,0.642,5.51361670693145e-93
"C8orf37-AS1",8.3228447277357e-96,0.389926605048131,0.149,0.688,1.66456894554714e-92
"LRRC9",5.07827928976658e-94,0.545894794546347,0.175,0.728,1.01565585795332e-90
"PTCHD4",1.11998336187121e-92,0.682780029533806,0.098,0.598,2.23996672374243e-89
"SGK1",6.93968871063207e-92,0.432015899895375,0.144,0.677,1.38793774212641e-88
"NTNG1",7.52943930047542e-92,0.356160262154861,0.17,0.711,1.50588786009508e-88
"ULK4",1.53207171114926e-91,0.276921529443963,0.17,0.726,3.06414342229853e-88
"ARMC3",7.46567852733936e-91,0.379279719531923,0.192,0.745,1.49313570546787e-87
"FANK1",8.42723744498946e-91,0.344130146656499,0.128,0.656,1.68544748899789e-87
"NHS",1.71627470001978e-90,0.252369500248584,0.161,0.691,3.43254940003955e-87
"MLF1",8.03275881952451e-90,0.255124506731489,0.089,0.608,1.6065517639049e-86
"KIAA0825",5.34271722228373e-89,0.326367844381886,0.161,0.691,1.06854344445675e-85
"MALRD1",5.38600671332121e-89,0.263745838091759,0.117,0.639,1.07720134266424e-85
"LINC01725",5.92630458892928e-89,0.392238678912219,0.06,0.576,1.18526091778586e-85
"AP002991.1",3.76034069149659e-88,0.300832689151193,0.08,0.585,7.52068138299319e-85
"PLCB4",1.24852919557197e-87,0.470771618328791,0.206,0.749,2.49705839114394e-84
"SLC8A3",2.51530792554728e-87,0.335990173438109,0.082,0.589,5.03061585109456e-84
"SYTL3",3.74537316107773e-86,0.292632011729141,0.072,0.588,7.49074632215546e-83
"PDE3A",1.08535103027652e-85,0.309097145774085,0.158,0.69,2.17070206055303e-82
"CAPS",2.67697964013323e-85,0.355518129876387,0.171,0.691,5.35395928026647e-82
"DSCAML1",7.39141657864342e-85,0.57343217394615,0.161,0.69,1.47828331572868e-81
"DPYD",3.09984155129275e-84,0.349216309274226,0.211,0.756,6.1996831025855e-81
"PRR16",4.24685482820094e-84,0.908029039426489,0.176,0.702,8.49370965640188e-81
"CCDC146",7.10421120330626e-83,0.347373413260878,0.196,0.723,1.42084224066125e-79
"PLCL1",2.11920668713952e-81,0.286298222508659,0.116,0.628,4.23841337427903e-78
"GPC6",2.58883863892921e-81,0.383270699615169,0.201,0.75,5.17767727785842e-78
"WDR78",3.55609196278849e-81,0.348934859745589,0.17,0.691,7.11218392557697e-78
"CPAMD8",2.21743085227069e-80,0.776476760361999,0.179,0.705,4.43486170454137e-77
