"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"C2orf91",0,1.00163938679518,0.261,0.003,0
"PKDCC",0,2.32984847203842,0.686,0.036,0
"SULT1C2",0,2.31510706527076,0.621,0.016,0
"AF127577.4",5.98076372834579e-299,1.72626487922496,0.562,0.03,2.5897903096483e-294
"WIPF3",6.0164359056276e-269,2.91108654628259,0.804,0.073,2.60523707585486e-264
"ZNF804A",5.06008710515935e-222,3.00067188194817,0.765,0.079,2.1911189182761e-217
"CASP5",5.05180932264882e-215,1.24458218701329,0.314,0.012,2.18753447289339e-210
"DNAJA4",5.5836712404437e-212,2.87009181809699,0.843,0.104,2.41784132053693e-207
"MIR3142HG",1.34503959850692e-210,1.04550827782843,0.307,0.012,5.82429046945467e-206
"TMEM243",2.55375263336068e-195,2.10506451397117,0.752,0.085,1.10582596529784e-190
"CPED1",1.03713033641648e-194,2.86375395798246,0.948,0.148,4.49098178275064e-190
"CLECL1",4.36632666899481e-194,1.28528847769479,0.359,0.018,1.89070677420813e-189
"SERPINE1",4.6418185571415e-194,3.0263344917108,0.549,0.043,2.01000027161341e-189
"ALDH1A2",4.12854880988165e-193,2.24607067644264,0.667,0.065,1.78774420565495e-188
"TGFA",1.09575687522455e-191,1.57180632735406,0.464,0.031,4.74484642109735e-187
"MS4A14",1.41340396105838e-189,1.585283088828,0.49,0.035,6.12032183217498e-185
"CACNA1D",3.70290057600822e-189,2.93811871237165,0.85,0.12,1.60343000742308e-184
"TENT5A",1.52603413245493e-182,1.90686474826214,0.66,0.068,6.60803300035635e-178
"CHRNA5",5.2720841048543e-176,1.13383240258545,0.281,0.012,2.28291785908401e-171
"DUSP10",3.34152255531545e-174,1.914289071318,0.51,0.042,1.4469460969027e-169
"CGAS",2.70194498404965e-171,1.75921389113592,0.595,0.058,1.16999621699318e-166
"AP000282.1",3.4862986956721e-171,1.44732902712151,0.32,0.017,1.50963706119993e-166
"AC074327.1",5.45981543737823e-165,3.22555270668524,0.954,0.192,2.36420928069352e-160
"METTL21A",2.79710224669454e-160,2.08790344795744,0.732,0.099,1.21120121486367e-155
"MRPS6",2.78423486730209e-158,2.63919672896101,0.915,0.177,1.20562938223915e-153
"CLEC5A",1.26810192591333e-154,1.3378434181255,0.346,0.022,5.49113495958991e-150
"ZNF124",2.40381226909087e-153,2.22201590589354,0.752,0.108,1.04089878876173e-148
"CCNG2",1.32967102907777e-152,2.0775465232664,0.614,0.072,5.75774149011258e-148
"DISC1",1.63868459259285e-152,2.92922389983813,0.98,0.221,7.09583202284558e-148
"AC087672.2",5.36163038528568e-151,1.26285928700978,0.379,0.026,2.3216931894364e-146
"FBXL14",9.51591560457499e-151,1.56834939976382,0.497,0.046,4.12058177509306e-146
"MLKL",3.15031457845992e-147,1.6655111336197,0.49,0.045,1.36414921876472e-142
"MS4A6A",5.39825388144275e-145,2.07709629097754,0.902,0.153,2.33755189574234e-140
"CHORDC1",2.27222731944937e-144,2.49621528016046,0.961,0.212,9.83919873867968e-140
"TM6SF1",4.25008894665442e-141,1.68911034960815,0.66,0.085,1.8403735156803e-136
"CHSY3",5.89654634461667e-141,2.31025623141448,0.739,0.111,2.55332249814591e-136
"ALPK3",6.22011028803033e-141,1.78498948682809,0.497,0.049,2.69343215692289e-136
"KLHL6",1.00246266618446e-137,1.83835613433935,0.745,0.108,4.34086383711194e-133
"EFCAB13",1.46550897375486e-134,1.69778747884487,0.595,0.074,6.3459469581533e-130
"ACER2",5.43342694667471e-134,1.09422642606294,0.346,0.025,2.35278253644908e-129
"SESN3",6.71916866486451e-131,3.05668840516103,0.948,0.252,2.90953441525963e-126
"DSCAM",3.8955728958729e-129,2.888488624863,0.908,0.204,1.68686097537088e-124
"PARVG",4.14173256655442e-129,1.73770604555173,0.706,0.104,1.79345303596939e-124
"DOCK10",1.41137651405126e-127,2.60062498548466,0.98,0.257,6.11154258114476e-123
